city1_2,flight,plane,city1,city2,city3,city4,city5,remarks,flight_account,flag
邦达成都,NA,NA,NA,NA,NA,NA,NA,NA,NA,197
成都邦达,NA,NA,NA,NA,NA,NA,NA,NA,NA,197
杭州珠海,NA,NA,NA,NA,NA,NA,NA,NA,NA,7142
包头武汉,NA,NA,NA,NA,NA,NA,NA,NA,NA,11880
大连榆林,NA,NA,NA,NA,NA,NA,NA,NA,NA,19937
大连盐城,NA,NA,NA,NA,NA,NA,NA,NA,NA,19948
徐州丽江,NA,NA,NA,NA,NA,NA,NA,NA,NA,23059
厦门连城,NA,NA,NA,NA,NA,NA,NA,NA,NA,7175
北京南苑大连,NA,NA,NA,NA,NA,NA,NA,NA,NA,328
大连北京南苑,NA,NA,NA,NA,NA,NA,NA,NA,NA,328
景德镇赣州,NA,NA,NA,NA,NA,NA,NA,NA,NA,7204
合肥阜阳,NA,NA,NA,NA,NA,NA,NA,NA,NA,7206
北京南苑东营,NA,NA,NA,NA,NA,NA,NA,NA,NA,379
东营北京南苑,NA,NA,NA,NA,NA,NA,NA,NA,NA,379
北京南苑敦煌,NA,NA,NA,NA,NA,NA,NA,NA,NA,381
敦煌北京南苑,NA,NA,NA,NA,NA,NA,NA,NA,NA,381
揭阳潮汕青岛,NA,NA,NA,NA,NA,NA,NA,NA,NA,7221
大庆天津,NA,NA,NA,NA,NA,NA,NA,NA,NA,19982
北京南苑赣州,NA,NA,NA,NA,NA,NA,NA,NA,NA,424
赣州北京南苑,NA,NA,NA,NA,NA,NA,NA,NA,NA,424
北京南苑广元,NA,NA,NA,NA,NA,NA,NA,NA,NA,432
广元北京南苑,NA,NA,NA,NA,NA,NA,NA,NA,NA,432
鄂尔多斯贵阳,NA,NA,NA,NA,NA,NA,NA,NA,NA,19993
鄂尔多斯宁波,NA,NA,NA,NA,NA,NA,NA,NA,NA,19995
鄂尔多斯南宁,NA,NA,NA,NA,NA,NA,NA,NA,NA,19997
鄂尔多斯三亚,NA,NA,NA,NA,NA,NA,NA,NA,NA,20002
鄂尔多斯乌鲁木齐,NA,NA,NA,NA,NA,NA,NA,NA,NA,20007
阜阳天津,NA,NA,NA,NA,NA,NA,NA,NA,NA,12011
北京南苑海口,NA,NA,NA,NA,NA,NA,NA,NA,NA,578
海口北京南苑,NA,NA,NA,NA,NA,NA,NA,NA,NA,578
福州运城,NA,NA,NA,NA,NA,NA,NA,NA,NA,7248
武汉盐城,NA,NA,NA,NA,NA,NA,NA,NA,NA,12027
上海浦东连云港,NA,NA,NA,NA,NA,NA,NA,NA,NA,12035
北京南苑丹东,NA,NA,NA,NA,NA,NA,NA,NA,NA,7260
长春杭州,NA,NA,NA,NA,NA,NA,NA,NA,NA,703
宁波上海浦东,NA,NA,NA,NA,NA,NA,NA,NA,NA,12047
北京南苑佳木斯,NA,NA,NA,NA,NA,NA,NA,NA,NA,761
佳木斯北京南苑,NA,NA,NA,NA,NA,NA,NA,NA,NA,761
北京南苑嘉峪关,NA,NA,NA,NA,NA,NA,NA,NA,NA,763
嘉峪关北京南苑,NA,NA,NA,NA,NA,NA,NA,NA,NA,763
北京南苑吉林,NA,NA,NA,NA,NA,NA,NA,NA,NA,766
吉林北京南苑,NA,NA,NA,NA,NA,NA,NA,NA,NA,766
北京南苑济南,NA,NA,NA,NA,NA,NA,NA,NA,NA,774
济南北京南苑,NA,NA,NA,NA,NA,NA,NA,NA,NA,774
重庆兴义,NA,NA,NA,NA,NA,NA,NA,NA,NA,12141
兴义重庆,NA,NA,NA,NA,NA,NA,NA,NA,NA,12141
抚远北京南苑,NA,NA,NA,NA,NA,NA,NA,NA,NA,20108
济南石家庄,NA,NA,NA,NA,NA,NA,NA,NA,NA,7355
北京南苑晋江,NA,NA,NA,NA,NA,NA,NA,NA,NA,817
晋江北京南苑,NA,NA,NA,NA,NA,NA,NA,NA,NA,817
北京南苑锦州,NA,NA,NA,NA,NA,NA,NA,NA,NA,836
锦州北京南苑,NA,NA,NA,NA,NA,NA,NA,NA,NA,836
郑州榆林,NA,NA,NA,NA,NA,NA,NA,NA,NA,7370
西安长治,NA,NA,NA,NA,NA,NA,NA,NA,NA,7371
长治西安,NA,NA,NA,NA,NA,NA,NA,NA,NA,7371
海口西宁,NA,NA,NA,NA,NA,NA,NA,NA,NA,20167
北京南苑兰州,NA,NA,NA,NA,NA,NA,NA,NA,NA,894
兰州北京南苑,NA,NA,NA,NA,NA,NA,NA,NA,NA,894
包头杭州,NA,NA,NA,NA,NA,NA,NA,NA,NA,7392
邯郸西安,NA,NA,NA,NA,NA,NA,NA,NA,NA,20181
达州成都,NA,NA,NA,NA,NA,NA,NA,NA,NA,12222
成都达州,NA,NA,NA,NA,NA,NA,NA,NA,NA,12222
长沙晋江,NA,NA,NA,NA,NA,NA,NA,NA,NA,918
晋江长沙,NA,NA,NA,NA,NA,NA,NA,NA,NA,918
黑河烟台,NA,NA,NA,NA,NA,NA,NA,NA,NA,20188
湛江昆明,NA,NA,NA,NA,NA,NA,NA,NA,NA,7414
昆明湛江,NA,NA,NA,NA,NA,NA,NA,NA,NA,7414
南阳成都,NA,NA,NA,NA,NA,NA,NA,NA,NA,7423
成都南阳,NA,NA,NA,NA,NA,NA,NA,NA,NA,7423
杭州福州,NA,NA,NA,NA,NA,NA,NA,NA,NA,951
北海南京,NA,NA,NA,NA,NA,NA,NA,NA,NA,959
南京北海,NA,NA,NA,NA,NA,NA,NA,NA,NA,959
成都晋江,NA,NA,NA,NA,NA,NA,NA,NA,NA,974
晋江成都,NA,NA,NA,NA,NA,NA,NA,NA,NA,974
大连吉林,NA,NA,NA,NA,NA,NA,NA,NA,NA,1028
吉林大连,NA,NA,NA,NA,NA,NA,NA,NA,NA,1028
重庆晋江,NA,NA,NA,NA,NA,NA,NA,NA,NA,1029
晋江重庆,NA,NA,NA,NA,NA,NA,NA,NA,NA,1029
福州黄山,NA,NA,NA,NA,NA,NA,NA,NA,NA,1049
黄山福州,NA,NA,NA,NA,NA,NA,NA,NA,NA,1049
北京南苑宁波,NA,NA,NA,NA,NA,NA,NA,NA,NA,1089
宁波北京南苑,NA,NA,NA,NA,NA,NA,NA,NA,NA,1089
敦煌深圳,NA,NA,NA,NA,NA,NA,NA,NA,NA,7488
青岛秦皇岛,NA,NA,NA,NA,NA,NA,NA,NA,NA,7495
秦皇岛青岛,NA,NA,NA,NA,NA,NA,NA,NA,NA,7495
杭州牡丹江,NA,NA,NA,NA,NA,NA,NA,NA,NA,20277
安庆上海浦东,NA,NA,NA,NA,NA,NA,NA,NA,NA,1119
上海浦东安庆,NA,NA,NA,NA,NA,NA,NA,NA,NA,1119
广州吉林,NA,NA,NA,NA,NA,NA,NA,NA,NA,1137
吉林广州,NA,NA,NA,NA,NA,NA,NA,NA,NA,1137
珠海福州,NA,NA,NA,NA,NA,NA,NA,NA,NA,12379
福州珠海,NA,NA,NA,NA,NA,NA,NA,NA,NA,12379
迪庆重庆,NA,NA,NA,NA,NA,NA,NA,NA,NA,12399
东营郑州,NA,NA,NA,NA,NA,NA,NA,NA,NA,7532
郑州东营,NA,NA,NA,NA,NA,NA,NA,NA,NA,7532
敦煌大连,NA,NA,NA,NA,NA,NA,NA,NA,NA,7541
广州晋江,NA,NA,NA,NA,NA,NA,NA,NA,NA,1189
