"","city1_2","plane","city1","city2","city3","city4","city5","remarks","flight_account","flag"
"198","北京南苑海拉尔","738","北京南苑","海拉尔","北京南苑",NA,NA,NA,7,NA
"199","北京南苑海拉尔","73G","北京南苑","海拉尔","北京南苑",NA,NA,"或738执行",7,NA
"745","北京首都海拉尔","319","北京首都","海拉尔","北京首都",NA,NA,"或320执行 旅游包机",7,NA
"746","北京首都海拉尔","733","北京首都","海拉尔","北京首都",NA,NA,NA,2,NA
"747","北京首都海拉尔","733","北京首都","海拉尔","北京首都",NA,NA,NA,2,NA
"748","北京首都海拉尔","733","北京首都","海拉尔","北京首都",NA,NA,NA,4,NA
"749","北京首都海拉尔","733","北京首都","海拉尔","北京首都",NA,NA,NA,3,NA
"750","北京首都海拉尔","738","北京首都","海拉尔","北京首都",NA,NA,"执行日期：6月3-6月30日",3,NA
"751","北京首都海拉尔","E90","北京首都","海拉尔","北京首都",NA,NA,"执行日期0501-1029执行",7,NA
"752","北京首都海拉尔","738","北京首都","海拉尔",NA,NA,NA,"或B734/B733执行 执行日期0430-1029执行",1,NA
"753","北京首都海拉尔","738","北京首都","海拉尔",NA,NA,NA,"或B734/B733执行 执行日期0430-1029执行",1,NA
"754","北京首都海拉尔","738","北京首都","海拉尔",NA,NA,NA,"或B734/B733执行",5,NA
"834","北京首都揭阳","733","北京首都","揭阳",NA,NA,NA,"或738执行",7,NA
"835","北京首都揭阳","738","北京首都","揭阳","北京首都",NA,NA,NA,7,NA
"836","北京首都揭阳","738","北京首都","揭阳","北京首都",NA,NA,NA,3,NA
"840","北京首都九寨","757","北京首都","九寨",NA,NA,NA,NA,7,NA
"841","北京首都九寨","319","北京首都","九寨",NA,NA,NA,"或320执行",7,NA
"842","北京首都九寨","319","北京首都","九寨",NA,NA,NA,"或320执行",7,NA
"1706","成都甘孜","73G","成都","甘孜","成都",NA,NA,NA,2,NA
"1707","成都甘孜","737","成都","甘孜","成都",NA,NA,NA,7,NA
"1708","成都甘孜","73G","成都","甘孜","成都",NA,NA,NA,1,NA
"1709","成都甘孜","73G","成都","甘孜",NA,NA,NA,NA,3,NA
"1805","成都揭阳","319","成都","揭阳","成都",NA,NA,NA,2,NA
"1809","成都九寨","319","成都","九寨","成都",NA,NA,"或320执行",7,NA
"1810","成都九寨","319","成都","九寨","成都",NA,NA,NA,7,NA
"1811","成都九寨","319","成都","九寨","成都",NA,NA,NA,7,NA
"1812","成都九寨","319","成都","九寨","成都",NA,NA,NA,7,NA
"1813","成都九寨","319","成都","九寨","成都",NA,NA,NA,7,NA
"1814","成都九寨","319","成都","九寨","成都",NA,NA,"或A320执行",7,NA
"1815","成都九寨","73G","成都","九寨",NA,NA,NA,NA,7,NA
"1816","成都九寨","73G","成都","九寨","成都",NA,NA,NA,7,NA
"1817","成都九寨","319","成都","九寨",NA,NA,NA,"或321/320/738执行",7,NA
"1818","成都九寨","319","成都","九寨","成都",NA,NA,NA,7,NA
"1819","成都九寨","319","成都","九寨","成都",NA,NA,NA,7,NA
"1820","成都九寨","319","成都","九寨","成都",NA,NA,NA,7,NA
"1821","成都九寨","319","成都","九寨","成都",NA,NA,NA,7,NA
"1822","成都九寨","319","成都","九寨","成都",NA,NA,NA,7,NA
"1823","成都九寨","319","成都","九寨","成都",NA,NA,NA,7,NA
"1824","成都九寨","319","成都","九寨","成都",NA,NA,NA,7,NA
"1825","成都九寨","319","成都","九寨","成都",NA,NA,NA,7,NA
"1826","成都九寨","319","成都","九寨","成都",NA,NA,NA,7,NA
"1827","成都九寨","319","成都","九寨","成都",NA,NA,"或A320执行",7,NA
"1828","成都九寨","320","成都","九寨","成都",NA,NA,"或319执行",7,NA
"1829","成都九寨","73G","成都","九寨","成都",NA,NA,NA,7,NA
"1830","成都九寨","737","成都","九寨",NA,NA,NA,NA,7,NA
"1831","成都九寨","737","成都","九寨",NA,NA,NA,NA,7,NA
"1832","成都九寨","319","成都","九寨",NA,NA,NA,"或321/320/738执行",7,NA
"1833","成都九寨","319","成都","九寨",NA,NA,NA,"或320执行",7,NA
"1834","成都九寨","319","成都","九寨",NA,NA,NA,"或320执行",7,NA
"1835","成都九寨","73G","成都","九寨",NA,NA,NA,NA,7,NA
"2185","达州景德镇","319","达州","景德镇",NA,NA,NA,"或A320执行 执行日期0928-1029执行",7,NA
"2186","达州景德镇","319","达州","景德镇",NA,NA,NA,"或A320执行 执行日期0928-1029执行",7,NA
"2324","大连海拉尔","320","大连","海拉尔",NA,NA,NA,"执行日期0701-0831执行_x005F_x000D__x000D_
HD［2011］1047",1,NA
"2325","大连海拉尔","320","大连","海拉尔",NA,NA,NA,"执行日期0701-0831执行_x005F_x000D__x000D_
HD［2011］1047",1,NA
"2326","大连海拉尔","320","大连","海拉尔",NA,NA,NA,"执行日期0701-0831执行",2,NA
"2327","大连海拉尔","320","大连","海拉尔",NA,NA,NA,"执行日期0701-0831执行",3,NA
"2388","大连揭阳","319","大连","揭阳",NA,NA,NA,"或A320执行 执行日期0928-1029执行",7,NA
"2679","大庆海拉尔","320","大庆","海拉尔","大庆",NA,NA,NA,3,NA
"3049","甘孜成都","737","甘孜","成都",NA,NA,NA,NA,7,NA
"3050","甘孜成都","73G","甘孜","成都",NA,NA,NA,NA,1,NA
"3051","甘孜成都","73G","甘孜","成都",NA,NA,NA,NA,2,NA
"3052","甘孜成都","73G","甘孜","成都",NA,NA,NA,NA,3,NA
"3053","甘孜重庆","319","甘孜","重庆",NA,NA,NA,NA,3,NA
"3561","广州揭阳","733","广州","揭阳","广州",NA,NA,NA,3,NA
"3562","广州揭阳","738","广州","揭阳",NA,NA,NA,NA,7,NA
"3563","广州揭阳","733","广州","揭阳",NA,NA,NA,NA,7,NA
"3564","广州揭阳","733","广州","揭阳",NA,NA,NA,NA,7,NA
"3565","广州揭阳","733","广州","揭阳",NA,NA,NA,NA,3,NA
"3566","广州揭阳","733","广州","揭阳",NA,NA,NA,NA,3,NA
"3567","广州揭阳","733","广州","揭阳",NA,NA,NA,"或738执行",4,NA
"3568","广州揭阳","733","广州","揭阳",NA,NA,NA,NA,4,NA
"3569","广州揭阳","733","广州","揭阳",NA,NA,NA,NA,4,NA
"3570","广州揭阳","733","广州","揭阳",NA,NA,NA,NA,4,NA
"3571","广州揭阳","733","广州","揭阳",NA,NA,NA,NA,7,NA
"3574","广州九寨","319","广州","九寨",NA,NA,NA,"或321/320/738执行",7,NA
"3575","广州九寨","319","广州","九寨",NA,NA,NA,"或321/320/738执行",7,NA
"3820","广州万县","73G","广州","万县",NA,NA,NA,NA,7,NA
"4138","贵阳黔南州","ERJ","贵阳","黔南州","贵阳",NA,NA,NA,4,NA
"4139","贵阳黔南州","CR2","贵阳","黔南州","贵阳",NA,NA,NA,2,NA
"4140","贵阳黔南州","ERJ","贵阳","黔南州","贵阳",NA,NA,NA,3,NA
"4495","哈尔滨海拉尔","EMB","哈尔滨","海拉尔",NA,NA,NA,"执行日期：0808-1029",7,NA
"4496","哈尔滨海拉尔","319","哈尔滨","海拉尔","哈尔滨",NA,NA,NA,4,NA
"4738","海口揭阳","E90","海口","揭阳","海口",NA,NA,"或ERJ145执行",4,NA
"4874","海拉尔北京南苑","738","海拉尔","北京南苑",NA,NA,NA,NA,7,NA
"4875","海拉尔北京南苑","73G","海拉尔","北京南苑",NA,NA,NA,"或738执行",7,NA
"4876","海拉尔北京首都","319","海拉尔","北京首都",NA,NA,NA,"或320执行 旅游包机",7,NA
"4877","海拉尔北京首都","733","海拉尔","北京首都",NA,NA,NA,NA,2,NA
"4878","海拉尔北京首都","733","海拉尔","北京首都",NA,NA,NA,NA,2,NA
"4879","海拉尔北京首都","733","海拉尔","北京首都",NA,NA,NA,NA,4,NA
"4880","海拉尔北京首都","733","海拉尔","北京首都",NA,NA,NA,NA,3,NA
"4881","海拉尔北京首都","738","海拉尔","北京首都",NA,NA,NA,"执行日期：6月3-6月30日",3,NA
"4882","海拉尔北京首都","E90","海拉尔","北京首都",NA,NA,NA,"执行日期0501-1029执行",7,NA
"4883","海拉尔北京首都","738","海拉尔","北京首都",NA,NA,NA,"或B734/B733执行",2,NA
"4884","海拉尔北京首都","738","海拉尔","北京首都",NA,NA,NA,"或B734/B733执行",3,NA
"4885","海拉尔北京首都","738","海拉尔","北京首都",NA,NA,NA,"或B734/B733执行 执行日期0430-1029执行",2,NA
"4886","海拉尔大连","320","海拉尔","大连","南京",NA,NA,"执行日期0701-0831执行",5,NA
"4887","海拉尔大连","320","海拉尔","大连","南京",NA,NA,"执行日期0701-0831执行_x005F_x000D__x000D_
HD［2011］1047",2,NA
"4888","海拉尔大庆","320","海拉尔","大庆",NA,NA,NA,NA,3,NA
"4889","海拉尔哈尔滨","EMB","海拉尔","哈尔滨","海拉尔",NA,NA,"执行日期：0808-1029",7,NA
"4890","海拉尔哈尔滨","319","海拉尔","哈尔滨",NA,NA,NA,NA,4,NA
"4892","海拉尔呼和浩特","321","海拉尔","呼和浩特","武汉",NA,NA,"执行日期0701-1024执行",7,NA
"4893","海拉尔呼和浩特","320","海拉尔","呼和浩特",NA,NA,NA,"或738/733执行 执行日期0701-1029执行",7,NA
"4894","海拉尔呼和浩特","733","海拉尔","呼和浩特",NA,NA,NA,NA,2,NA
"4895","海拉尔呼和浩特","733","海拉尔","呼和浩特",NA,NA,NA,NA,5,NA
