"","city1_2","flight","plane","city1","city2","city3","city4","city5","remarks","flight_account","flag"
"49","阿拉善左旗银川","JR1518","MA6","阿拉善左旗","银川",NA,NA,NA,"与MU8116代号共享；待航线走向批复后执行",7,NA
"68","安庆大连","GX8877","E90","安庆","大连",NA,NA,NA,"或A320执行；与GS8877/HU8877代码共享；执行日期0701-1029执行；待航路走向批复后执行",7,NA
"72","安庆南宁","GX8878","E90","安庆","南宁",NA,NA,NA,"或A320执行；与GS8878/HU8878代码共享；执行日期0701-1029执行；待航路走向批复后执行",7,NA
"87","安顺西双版纳","GJ8879","320","安顺","西双版纳",NA,NA,NA,"待航线走向批复后执行",3,NA
"165","包头丽江","EU2240","319","包头","丽江",NA,NA,NA,"或A320执行",7,NA
"226","北戴河成都","DR6542","73G","北戴河","成都",NA,NA,NA,"或738执行待航路走向批复后执行。",4,NA
"227","北戴河广州","HU7324","738","北戴河","广州",NA,NA,NA,"待航路走向批复后执行",4,NA
"228","北戴河哈尔滨","DR6541","73G","北戴河","哈尔滨",NA,NA,NA,"或738执行待航路走向批复后执行。",4,NA
"229","北戴河青岛","NS3291","E90","北戴河","青岛",NA,NA,NA,"或73G/738执行",3,NA
"230","北戴河上海浦东","FM9142","73G","北戴河","上海浦东",NA,NA,NA,"或333/767/738执行 执行日期0327-1029执行",1,NA
"231","北戴河上海浦东","FM9142","73G","北戴河","上海浦东",NA,NA,NA,"或333/767/738执行 执行日期0327-1029执行",1,NA
"232","北戴河上海浦东","FM9142","73G","北戴河","上海浦东",NA,NA,NA,"或333/767/738执行 执行日期0327-1029执行",1,NA
"233","北戴河上海浦东","FM9142","73G","北戴河","上海浦东",NA,NA,NA,"或333/767/738执行 执行日期0327-1029执行",4,NA
"234","北戴河石家庄","NS3292","E90","北戴河","石家庄",NA,NA,NA,"或73G/738执行",3,NA
"235","北戴河石家庄","NS3280","E90","北戴河","石家庄",NA,NA,NA,"或738/73G执行",4,NA
"236","北戴河徐州","HU7324","738","北戴河","徐州","广州",NA,NA,"待航路走向批复后执行",4,NA
"247","北海合肥","NS3250","E90","北海","合肥","石家庄",NA,NA,"或738/73G执行",7,NA
"248","北海合肥","NS3250","E90","北海","合肥","石家庄",NA,NA,"或738/73G执行",4,NA
"313","北京南苑海拉尔","KN2287","738","北京南苑","海拉尔",NA,NA,NA,"待航线走向批复后执行",4,NA
"314","北京南苑海拉尔","KN2297","738","北京南苑","海拉尔",NA,NA,NA,"待航线走向批复后执行",7,NA
"315","北京南苑海拉尔","KN2287","738","北京南苑","海拉尔",NA,NA,NA,"待航线走向批复后执行",3,NA
"316","北京南苑海拉尔","KN2289","738","北京南苑","海拉尔",NA,NA,NA,"待航线走向批复后执行",7,NA
"317","北京南苑海拉尔","KN5869","738","北京南苑","海拉尔",NA,NA,NA,"待航线走向批复后执行",3,NA
"660","北京首都海拉尔","JD5625","319","北京首都","海拉尔",NA,NA,NA,"或320/321/330执行",2,NA
"661","北京首都海拉尔","MF8281","737","北京首都","海拉尔",NA,NA,NA,NA,7,NA
"662","北京首都海拉尔","CA1141","738","北京首都","海拉尔",NA,NA,NA,"执行日期0701-0930执行",3,NA
"663","北京首都海拉尔","CA1141","738","北京首都","海拉尔",NA,NA,NA,"执行日期0701-0930执行",1,NA
"664","北京首都海拉尔","CA1131","738","北京首都","海拉尔",NA,NA,NA,NA,4,NA
"665","北京首都海拉尔","CA1131","738","北京首都","海拉尔",NA,NA,NA,NA,3,NA
"666","北京首都海拉尔","CN7101","738","北京首都","海拉尔",NA,NA,NA,"与HU7101代号共享",7,NA
"667","北京首都海拉尔","CA1129","738","北京首都","海拉尔",NA,NA,NA,"执行日期0701-0930执行",7,NA
"668","北京首都海拉尔","CA1125","738","北京首都","海拉尔",NA,NA,NA,"执行日期0701-0930执行",7,NA
"669","北京首都海拉尔","MU2863","320","北京首都","海拉尔",NA,NA,NA,NA,7,NA
"670","北京首都海拉尔","CA1141","738","北京首都","海拉尔",NA,NA,NA,"执行日期0701-0930执行",1,NA
"743","北京首都揭阳","CA1849","319","北京首都","揭阳",NA,NA,NA,NA,7,NA
"744","北京首都揭阳","CZ3862","738","北京首都","揭阳",NA,NA,NA,"与MF1658 MU3463代码共享",7,NA
"745","北京首都揭阳","CA1347","738","北京首都","揭阳",NA,NA,NA,NA,7,NA
"746","北京首都揭阳","CZ6572","738","北京首都","揭阳",NA,NA,NA,"与MF4178 MU4418代码共享",5,NA
"747","北京首都揭阳","CZ6572","738","北京首都","揭阳",NA,NA,NA,"与MF4178 MU4418代码共享",2,NA
"754","北京首都九寨","CA4122","319","北京首都","九寨",NA,NA,NA,NA,6,NA
"755","北京首都九寨","CA4122","319","北京首都","九寨",NA,NA,NA,NA,1,NA
"945","北京首都三明","HU7197/8","738","北京首都","三明",NA,NA,NA,NA,4,NA
"946","北京首都三明","HU7197/8","738","北京首都","三明",NA,NA,NA,NA,4,NA
"1091","北京首都十堰","CA1811/2","738","北京首都","十堰","北京首都",NA,NA,NA,4,NA
"1092","北京首都十堰","CZ6728","738","北京首都","十堰","武汉",NA,NA,NA,3,NA
"1093","北京首都十堰","CZ6626","738","北京首都","十堰",NA,NA,NA,NA,3,NA
"1094","北京首都石河子","CA1299","738","北京首都","石河子",NA,NA,NA,NA,3,NA
"1120","北京首都万县","3U8838","320","北京首都","万县","昆明",NA,NA,"或330/321/319执行 待航路走向批复后执行",1,NA
"1121","北京首都万县","3U8838","319","北京首都","万县","昆明",NA,NA,"或330/321/320执行 待航路走向批复后执行",6,NA
"1305","北京首都营口","DZ6209/10","738","北京首都","营口","北京首都",NA,NA,NA,7,NA
"1429","毕节兰州","GX8865","E90","毕节","兰州",NA,NA,NA,"或A320执行；与GS8865/HU8865代码共享；执行日期0327-1029执行；待航路走向批复后执行",3,NA
"1432","毕节南宁","GX8816","E90","毕节","南宁",NA,NA,NA,"或A320执行；与GS8816/HU8816代码共享；执行日期0327-1029执行；待航路走向批复后执行",3,NA
"1437","毕节西安","GX8815","E90","毕节","西安",NA,NA,NA,"或A320执行；与GS8815/HU8815代码共享；执行日期0327-1029执行；待航路走向批复后执行",3,NA
"1466","常德佛山","KN5761","738","常德","佛山",NA,NA,NA,"待航线走向批复后执行",3,NA
"1473","常德沈阳","GX8803/4","320","常德","沈阳",NA,NA,NA,NA,3,NA
"1474","常德沈阳","GX8803/4","320","常德","沈阳",NA,NA,NA,NA,3,NA
"1527","成都北戴河","DR6541","73G","成都","北戴河","哈尔滨",NA,NA,"或738执行待航路走向批复后执行。",4,NA
"1593","成都池州","HO1270","320","成都","池州","上海虹桥",NA,NA,"待航线走向批复后执行",7,NA
"1635","成都甘孜","3U8359","319","成都","甘孜","稻城",NA,NA,NA,1,NA
"1636","成都甘孜","MU5443","319","成都","甘孜",NA,NA,NA,"执行日期0327-1029执行 待航路走向批复后执行",3,NA
"1637","成都甘孜","MU5443","319","成都","甘孜",NA,NA,NA,"执行日期0327-1029执行 待航路走向批复后执行",3,NA
"1638","成都甘孜","3U8359","319","成都","甘孜","稻城",NA,NA,NA,1,NA
"1639","成都甘孜","8L9627","73G","成都","甘孜","拉萨",NA,NA,"或738/319/320执行。待航路走向批复后执行。",7,NA
"1640","成都甘孜","MU5443","319","成都","甘孜",NA,NA,NA,"执行日期0327-1029执行 待航路走向批复后执行",1,NA
"1708","成都海拉尔","EU2249","319","成都","海拉尔",NA,NA,NA,"或A320执行。",7,NA
"1709","成都海拉尔","EU2249","319","成都","海拉尔",NA,NA,NA,"或A320执行。",4,NA
"1769","成都揭阳","CA4373","319","成都","揭阳",NA,NA,NA,NA,7,NA
"1770","成都揭阳","CZ3866","738","成都","揭阳",NA,NA,NA,"与MF1662代码共享",7,NA
"1771","成都金昌","EU2273","319","成都","金昌",NA,NA,NA,"或A320执行。",3,NA
"1774","成都九寨","3U8605","319","成都","九寨",NA,NA,NA,"或330/321/320执行",1,NA
"1775","成都九寨","CA4481","319","成都","九寨",NA,NA,NA,NA,2,NA
"1776","成都九寨","CA4483","319","成都","九寨",NA,NA,NA,NA,7,NA
"1777","成都九寨","HU7613","738","成都","九寨",NA,NA,NA,NA,7,NA
"1778","成都九寨","MU5863","73G","成都","九寨",NA,NA,NA,"执行日期0327-1029执行",7,NA
"1779","成都九寨","3U8159","319","成都","九寨",NA,NA,NA,NA,1,NA
"1780","成都九寨","3U8605","319","成都","九寨",NA,NA,NA,"或330/321/320执行",3,NA
"1781","成都九寨","MU5851","73G","成都","九寨",NA,NA,NA,"执行日期0327-1029执行",7,NA
"1782","成都九寨","EU2705","319","成都","九寨",NA,NA,NA,"或A320执行。",7,NA
"1783","成都九寨","3U8159","319","成都","九寨",NA,NA,NA,NA,2,NA
"1784","成都九寨","3U8605","319","成都","九寨",NA,NA,NA,"或330/321/320执行",3,NA
"1785","成都九寨","CA4487","319","成都","九寨",NA,NA,NA,NA,7,NA
