,flight,plane,city1,city2,city3,city4,city5,remarks,flight_account,flight_num
1,CA4375/6,319,呼和浩特,三亚,呼和浩特,NA,NA,NA,5,12.456.
2,JD5117/8,319,北京首都,包头,北京首都,NA,NA,或320执行 旅游包机,7,1234567
3,JD5149,319,北京首都,二连浩特,NA,NA,NA,或320执行 旅游包机,7,1234567
4,JD5150,319,二连浩特,北京首都,NA,NA,NA,或320执行 旅游包机,7,1234567
5,JD5187/8,319,北京首都,包头,北京首都,NA,NA,或320执行 旅游包机,7,1234567
6,JD5245/6,319,北京首都,海拉尔,北京首都,NA,NA,或320执行 旅游包机,7,1234567
7,JD5267/8,319,呼和浩特,乌鲁木齐,呼和浩特,NA,NA,或320执行 旅游包机,1,.2.....
8,JD5267/8,319,呼和浩特,乌鲁木齐,呼和浩特,NA,NA,或320执行 旅游包机,1,.....6.
9,JD5267/8,319,呼和浩特,乌鲁木齐,呼和浩特,NA,NA,或320执行 旅游包机,1,......7
10,JD5267/8,319,呼和浩特,乌鲁木齐,呼和浩特,NA,NA,或320执行 旅游包机,1,..3....
11,JD5267/8,319,呼和浩特,乌鲁木齐,呼和浩特,NA,NA,或320执行 旅游包机,2,...45..
12,JD5267/8,319,呼和浩特,乌鲁木齐,呼和浩特,NA,NA,或320执行 旅游包机,1,1......
13,JD5285/6,319,北京首都,呼和浩特,北京首都,NA,NA,或320执行 旅游包机,7,1234567
14,JD5289/90,319,北京首都,呼和浩特,北京首都,NA,NA,或320执行 旅游包机.,1,.....6.
15,JD5289/90,319,北京首都,呼和浩特,北京首都,NA,NA,或320执行 旅游包机,6,12345.7
16,JD5291/2,319,北京首都,呼和浩特,北京首都,NA,NA,或320执行 旅游包机 执行日期0715-1029执行,7,1234567
17,JD5311/2,319,呼和浩特,武汉,海口,武汉,呼和浩特,或320执行 旅游包机,7,1234567
18,9C8873/4,320,石家庄,大连,石家庄,NA,NA,执行日期：0901-1029,3,1..4..7
19,9C8873/4,320,石家庄,大连,石家庄,NA,NA,"执行日期：0701-1029_x000D_
调整取消（调为147）：0901-1029",3,.2..56.
20,9C8873/4,320,石家庄,大连,石家庄,NA,NA,NA,1,..3....
21,9C8893/4,320,石家庄,南京,石家庄,NA,NA,NA,1,.....6.
22,9C8893/4,320,石家庄,南京,石家庄,NA,NA,NA,6,12345.7
23,9C8905/6,320,石家庄,福州,石家庄,NA,NA,取消：0710-1029,4,.23.56.
24,9C8975/6,320,石家庄,厦门,石家庄,NA,NA,NA,4,.23.56.
25,9C8975/6,320,石家庄,厦门,石家庄,NA,NA,NA,3,1..4..7
26,9C8993/4,320,石家庄,重庆,石家庄,NA,NA,执行日期：0901-1029,7,1234567
27,NS3207/8,320,石家庄,三亚,石家庄,NA,NA,执行日期：3月27-5月31,7,1234567
28,NS3209/10,320,石家庄,成都,石家庄,NA,NA,或737/738/ERJ/E90执行,7,1234567
29,NS3211/2,320,石家庄,杭州,石家庄,NA,NA,执行日期：5月1日-10月29日,7,1234567
30,NS3221/2,320,石家庄,海口,石家庄,NA,NA,执行日期：3月27-4月30,7,1234567
31,NS3239/40,320,石家庄,唐山,石家庄,NA,NA,执行日期：3月27-10月29,7,1234567
32,NS3241/2,320,石家庄,重庆,南宁,重庆,石家庄,执行日期：5月29-10月29日,7,1234567
33,NS3245/6,320,石家庄,宁波,长沙,宁波,石家庄,执行日期：2011年5月1-10月29日,7,1234567
34,ZH9145/6,320,太原,昆明,太原,NA,NA,NA,7,1234567
35,ZH9175/6,320,呼和浩特,海拉尔,呼和浩特,NA,NA,或738/733执行 执行日期0701-1029执行,7,1234567
36,CA8219,321,武汉,呼和浩特,海拉尔,NA,NA,执行日期0701-1024执行,7,1234567
37,CA8220,321,海拉尔,呼和浩特,武汉,NA,NA,执行日期0701-1024执行,7,1234567
38,CZ6699,321,北京首都,长治,NA,NA,NA,NA,4,123.5..
39,CZ6699,321,北京首都,长治,NA,NA,NA,NA,1,......7
40,CZ6699/700,321,北京首都,长治,北京首都,NA,NA,或738/73G/733/320执行,2,...4.6.
41,CZ6700,321,长治,北京首都,NA,NA,NA,NA,5,123.5.7
