"","city1_2","flight","plane","city1","city2","city3","city4","city5","remarks","flight_account","flag"
"1","阿坝成都","CA4220","319","阿坝","成都",NA,NA,NA,"待航线走向批复后执行",3,18903
"2","阿坝成都","CA4218","319","阿坝","成都",NA,NA,NA,NA,2,18903
"3","阿坝重庆","3U8119/20","319","阿坝","重庆",NA,NA,NA,NA,7,23570
"4","阿尔山北京南苑","KN2986","737","阿尔山","北京南苑",NA,NA,NA,"待航线走向批复后执行",4,25664
"5","阿尔山哈尔滨","G52717","CR9","阿尔山","哈尔滨",NA,NA,NA,NA,4,22704
"6","阿尔山呼和浩特","G52718","CR9","阿尔山","呼和浩特",NA,NA,NA,NA,4,8494
"7","阿尔山呼和浩特","G52744","CR9","阿尔山","呼和浩特",NA,NA,NA,NA,4,8494
"8","阿尔山呼和浩特","G52776","CR9","阿尔山","呼和浩特",NA,NA,NA,NA,3,8494
"9","阿尔山乌兰浩特","G52744","CR9","阿尔山","乌兰浩特","呼和浩特",NA,NA,NA,4,23724
"10","阿尔山乌兰浩特","G52775","CR9","阿尔山","乌兰浩特",NA,NA,NA,NA,3,23724
"11","阿克苏成都","CA4244","320","阿克苏","成都",NA,NA,NA,NA,7,19273
"12","阿克苏杭州","CZ6919","73G","阿克苏","杭州",NA,NA,NA,"与MF4445代码共享 或752/738/E90执行",7,21643
"13","阿克苏和田","CZ8613","738","阿克苏","和田",NA,NA,NA,"或73G/E90执行 与MF4539代码共享",2,23571
"14","阿克苏青岛","SC8816","738","阿克苏","青岛",NA,NA,NA,"或737执行；与CA8816代码共享",7,21647
"15","阿克苏上海虹桥","HU7354","738","阿克苏","上海虹桥",NA,NA,NA,NA,7,21645
"16","阿克苏乌鲁木齐","GS7512","E90","阿克苏","乌鲁木齐",NA,NA,NA,"或320/EM4执行",4,23572
"17","阿克苏乌鲁木齐","GS7512","E90","阿克苏","乌鲁木齐",NA,NA,NA,"或320/EM4执行",3,23572
"18","阿克苏乌鲁木齐","CZ6868","73G","阿克苏","乌鲁木齐",NA,NA,NA,"与MF4404 MU4608代码共享 或738/E90执行",7,23572
"19","阿克苏乌鲁木齐","CZ6862","73G","阿克苏","乌鲁木齐",NA,NA,NA,"与MF4398 MU4600代码共享 或738/E90执行",7,23572
"20","阿克苏乌鲁木齐","CZ6860","738","阿克苏","乌鲁木齐",NA,NA,NA,"或73G/E90执行 与MF4396 MU4598代码共享",4,23572
"21","阿克苏乌鲁木齐","CZ8614","738","阿克苏","乌鲁木齐",NA,NA,NA,"或73G/E90执行 与MF4540代码共享",2,23572
"22","阿克苏乌鲁木齐","UQ2523/4","738","阿克苏","乌鲁木齐",NA,NA,NA,"执行日期7.1-10.29",7,23572
"23","阿克苏乌鲁木齐","CZ6860","738","阿克苏","乌鲁木齐",NA,NA,NA,"或73G/E90执行 与MF4396 MU4598代码共享",1,23572
"24","阿克苏乌鲁木齐","GS7516","E90","阿克苏","乌鲁木齐",NA,NA,NA,"或320/EM4执行",7,23572
"25","阿克苏乌鲁木齐","CZ6846","E90","阿克苏","乌鲁木齐",NA,NA,NA,"或738/73G执行 与MF4384 MU4590代码共享",5,23572
"26","阿克苏乌鲁木齐","CZ6846","E90","阿克苏","乌鲁木齐",NA,NA,NA,"或738/73G执行 与MF4384 MU4590代码共享",2,23572
"27","阿克苏乌鲁木齐","GS7514","E90","阿克苏","乌鲁木齐",NA,NA,NA,"或320/EM4执行",7,23572
"28","阿克苏乌鲁木齐","CZ6866","E90","阿克苏","乌鲁木齐",NA,NA,NA,"与MF4402 MU4604代码共享 或738/73G执行",7,23572
"29","阿克苏乌鲁木齐","CZ6870","738","阿克苏","乌鲁木齐",NA,NA,NA,"或73G/E90执行 与MF4406 MU4610代码共享",1,23572
"30","阿克苏乌鲁木齐","CZ6870","738","阿克苏","乌鲁木齐",NA,NA,NA,"或73G/E90执行 与MF4406 MU4610代码共享",6,23572
"31","阿克苏乌鲁木齐","CZ6919","73G","阿克苏","乌鲁木齐","杭州",NA,NA,"与MF4445代码共享 或752/738/E90执行",7,23572
"32","阿克苏乌鲁木齐","GS7518","E90","阿克苏","乌鲁木齐",NA,NA,NA,"或320/EM4执行",7,23572
"33","阿克苏乌鲁木齐","HU7354","738","阿克苏","乌鲁木齐","上海虹桥",NA,NA,NA,7,23572
"34","阿克苏西安","SC8816","738","阿克苏","西安","青岛",NA,NA,"或737执行；与CA8816代码共享",7,21646
"35","阿克苏重庆","CA4576","738","阿克苏","重庆",NA,NA,NA,NA,3,24255
"36","阿克苏重庆","CA4576","738","阿克苏","重庆",NA,NA,NA,NA,1,24255
"37","阿拉善右旗阿拉善左旗","BK2764","MA6","阿拉善右旗","阿拉善左旗",NA,NA,NA,"待航路走向批复后执行",2,18911
"38","阿拉善右旗阿拉善左旗","BK2810","MA6","阿拉善右旗","阿拉善左旗",NA,NA,NA,NA,5,18911
"39","阿拉善右旗额济纳旗","BK2763","MA6","阿拉善右旗","额济纳旗",NA,NA,NA,"待航路走向批复后执行",2,23679
"40","阿拉善左旗阿拉善右旗","BK2763","MA6","阿拉善左旗","阿拉善右旗","额济纳旗",NA,NA,"待航路走向批复后执行",2,18911
"41","阿拉善左旗阿拉善右旗","BK2809","MA6","阿拉善左旗","阿拉善右旗",NA,NA,NA,NA,5,18911
"42","阿拉善左旗额济纳旗","BK2763","MA6","阿拉善左旗","额济纳旗",NA,NA,NA,"待航路走向批复后执行",2,23576
"43","阿拉善左旗额济纳旗","JR1513","MA6","阿拉善左旗","额济纳旗",NA,NA,NA,"与MU8107代号共享；待航线走向批复后执行",7,23576
"44","阿拉善左旗呼和浩特","BK2878","MA6","阿拉善左旗","呼和浩特","天津",NA,NA,NA,2,18910
"45","阿拉善左旗呼和浩特","BK2783","MA6","阿拉善左旗","呼和浩特",NA,NA,NA,NA,5,18910
"46","阿拉善左旗呼和浩特","BK2841","MA6","阿拉善左旗","呼和浩特",NA,NA,NA,NA,7,18910
"47","阿拉善左旗天津","BK2878","MA6","阿拉善左旗","天津",NA,NA,NA,NA,2,21670
"48","阿拉善左旗西安","JR1514","MA6","阿拉善左旗","西安",NA,NA,NA,"与MU8108代号共享；待航线走向批复后执行",7,23875
"49","阿拉善左旗银川","JR1518","MA6","阿拉善左旗","银川",NA,NA,NA,"与MU8116代号共享；待航线走向批复后执行",7,NA
"50","阿勒泰乌鲁木齐","CZ6856","E90","阿勒泰","乌鲁木齐",NA,NA,NA,"或738/73G执行 与MF4394代码共享",7,18896
"51","阿勒泰乌鲁木齐","CZ6858","73G","阿勒泰","乌鲁木齐",NA,NA,NA,"执行日期0601-1029执行 或738/E90执行",3,18896
"52","阿勒泰乌鲁木齐","CZ6842","E90","阿勒泰","乌鲁木齐",NA,NA,NA,"或738/73G执行 与MF4380代码共享",7,18896
"53","阿勒泰乌鲁木齐","GS7556","E90","阿勒泰","乌鲁木齐",NA,NA,NA,"或320/EM4执行",1,18896
"54","阿勒泰乌鲁木齐","CZ6858","73G","阿勒泰","乌鲁木齐",NA,NA,NA,"执行日期0601-1029执行 或738/E90执行",1,18896
"55","阿勒泰乌鲁木齐","CZ6858","73G","阿勒泰","乌鲁木齐",NA,NA,NA,"执行日期0601-1029执行 或738/E90执行",1,18896
"56","阿勒泰乌鲁木齐","CZ6857/8","737","阿勒泰","乌鲁木齐",NA,NA,NA,"执行日期7.1-9.30",1,18896
"57","阿勒泰乌鲁木齐","CZ6844","E90","阿勒泰","乌鲁木齐",NA,NA,NA,"或738/73G执行 与MF4382代码共享",1,18896
"58","阿勒泰乌鲁木齐","CZ6844","E90","阿勒泰","乌鲁木齐",NA,NA,NA,"执行日期0701-1029执行 或738/73G执行 与MF4382代码共享",3,18896
"59","阿勒泰乌鲁木齐","CZ6844","E90","阿勒泰","乌鲁木齐",NA,NA,NA,"或738/73G执行 与MF4382代码共享",3,18896
"60","阿勒泰乌鲁木齐","GS7558","E90","阿勒泰","乌鲁木齐",NA,NA,NA,"或320/EM4执行",7,18896
"61","阿勒泰乌鲁木齐","GS7463/4","EMB","阿勒泰","乌鲁木齐",NA,NA,NA,"执行日期：6.11-8.31；9.1-10.6",7,18896
"62","阿勒泰乌鲁木齐","GS7556","E90","阿勒泰","乌鲁木齐",NA,NA,NA,"或320/EM4执行",6,18896
"63","阿勒泰乌鲁木齐","CZ6858","73G","阿勒泰","乌鲁木齐",NA,NA,NA,"执行日期0601-1029执行 或738/E90执行",1,18896
"64","阿里喀什","MU2132","320","阿里","喀什",NA,NA,NA,"执行日期0327-1029执行 待航路走向批复后执行",1,9074
"65","阿里拉萨","TV9918","319","阿里","拉萨",NA,NA,NA,NA,7,10094
"66","阿里拉萨","TV9808","319","阿里","拉萨",NA,NA,NA,NA,7,10094
"67","安庆北京首都","HU7681","738","安庆","北京首都",NA,NA,NA,"待航路走向批复后执行",7,4303
"68","安庆大连","GX8877","E90","安庆","大连",NA,NA,NA,"或A320执行；与GS8877/HU8877代码共享；执行日期0701-1029执行；待航路走向批复后执行",7,NA
"69","安庆广州","CZ3586","319","安庆","广州",NA,NA,NA,"与MF1414 MU3309代码共享",4,8965
"70","安庆海口","HU7682","738","安庆","海口",NA,NA,NA,"待航路走向批复后执行",7,24263
"71","安庆昆明","8L9960","73G","安庆","昆明",NA,NA,NA,"或738/319/320执行。待航路走向批复后执行。",3,21654
