"","flight","plane","city1","city2","city3","city4","city5","remarks","flight_account","city1_2"
"5","JD5275","319","南京","石家庄","呼和浩特",NA,NA,"或320/321/330执行待航线走向批复后执行","7","南京石家庄"
"6","JD5276","319","呼和浩特","石家庄","南京",NA,NA,"或320/321/330执行待航线走向批复后执行","7","呼和浩特石家庄"
"7","JD5339","319","厦门","武汉","呼和浩特",NA,NA,"或320/321/330执行","7","厦门武汉"
"8","JD5340","319","呼和浩特","武汉","厦门",NA,NA,"或320/321/330执行","7","呼和浩特武汉"
"11","JD5367","319","海口","宜昌","呼和浩特",NA,NA,"或320/321/330执行待航线走向批复后执行","3","海口宜昌"
"12","JD5368","319","呼和浩特","宜昌","海口",NA,NA,"或320/321/330执行待航线走向批复后执行","3","呼和浩特宜昌"
"14","JD5399","319","包头","郑州","三亚",NA,NA,"或320/321/330执行","7","包头郑州"
"15","JD5400","319","三亚","郑州","包头",NA,NA,"或320/321/330执行","4","三亚郑州"
"16","JD5400","319","三亚","郑州","包头",NA,NA,"或320/321/330执行","3","三亚郑州"
"19","JD5601","319","呼和浩特","南昌","海口",NA,NA,"或320/321/330执行","2","呼和浩特南昌"
"20","JD5601","319","呼和浩特","南昌","海口",NA,NA,"或320/321/330执行","2","呼和浩特南昌"
"21","JD5602","319","海口","南昌","呼和浩特",NA,NA,"或320/321/330执行","4","海口南昌"
"24","JD5633","319","杭州","郑州","呼和浩特",NA,NA,"或320/321/330执行","4","杭州郑州"
"25","JD5633","319","杭州","郑州","呼和浩特",NA,NA,"或320/321/330执行","3","杭州郑州"
"26","JD5634","319","呼和浩特","郑州","杭州",NA,NA,"或320/321/330执行","4","呼和浩特郑州"
"27","JD5634","319","呼和浩特","郑州","杭州",NA,NA,"或320/321/330执行","1","呼和浩特郑州"
"28","JD5634","319","呼和浩特","郑州","杭州",NA,NA,"或320/321/330执行","2","呼和浩特郑州"
"29","JD5643","319","桂林","郑州","呼和浩特",NA,NA,"或320/321/330执行","4","桂林郑州"
"30","JD5644","319","呼和浩特","郑州","桂林",NA,NA,"或320/321/330执行","4","呼和浩特郑州"
"43","9C8665","320","石家庄","淮安","温州",NA,NA,NA,"7","石家庄淮安"
"44","9C8666","320","温州","淮安","石家庄",NA,NA,NA,"7","温州淮安"
"45","9C8681","320","石家庄","南昌","揭阳",NA,NA,NA,"7","石家庄南昌"
"46","9C8682","320","揭阳","南昌","石家庄",NA,NA,NA,"7","揭阳南昌"
"83","GS6509","320","天津","武汉","三亚",NA,NA,"或333/332/E90执行","7","天津武汉"
"84","GS6510","320","三亚","武汉","天津",NA,NA,"或333/332/E90执行","7","三亚武汉"
"85","GS6579","320","海口","长沙","天津",NA,NA,"或333/332/E90执行","6","海口长沙"
"86","GS6579","320","海口","长沙","天津",NA,NA,"或E90/EM4执行","1","海口长沙"
"87","GS6580","320","天津","长沙","海口",NA,NA,"或333/332/E90执行","7","天津长沙"
"90","GS6669","320","济南","呼和浩特","海拉尔",NA,NA,NA,"7","济南呼和浩特"
"91","GS6670","320","海拉尔","呼和浩特","济南",NA,NA,NA,"7","海拉尔呼和浩特"
"92","GS7497","320","乌鲁木齐","西安","天津",NA,NA,"或333/332/E90/EM4执行","1","乌鲁木齐西安"
"93","GS7497","320","乌鲁木齐","西安","天津",NA,NA,"或333/332/E90/EM4执行","6","乌鲁木齐西安"
"94","GS7498","320","天津","西安","乌鲁木齐",NA,NA,"或333/332/E90/EM4执行","1","天津西安"
"95","GS7498","320","天津","西安","乌鲁木齐",NA,NA,"或333/332/E90/EM4执行","6","天津西安"
"96","GS7655","320","西安","呼和浩特","海拉尔",NA,NA,"或333/332/E90执行","7","西安呼和浩特"
"97","GS7656","320","海拉尔","呼和浩特","西安",NA,NA,"或333/332/E90执行","7","海拉尔呼和浩特"
"98","GS7815","320","天津","青岛","温州",NA,NA,"或333/332/E90执行","7","天津青岛"
"99","GS7816","320","温州","青岛","天津",NA,NA,"或333/332/E90执行","7","温州青岛"
"100","GS7839","320","天津","乌鲁木齐","和田",NA,NA,NA,"7","天津乌鲁木齐"
"101","GS7840","320","和田","乌鲁木齐","天津",NA,NA,NA,"7","和田乌鲁木齐"
"106","GS7857","320","天津","西安","昆明",NA,NA,"或333/332/E90执行","4","天津西安"
"107","GS7858","320","昆明","西安","天津",NA,NA,"或333/332/E90执行","4","昆明西安"
"108","GS7859","320","天津","武汉","三亚",NA,NA,"或333/332/E90执行","1","天津武汉"
"109","GS7859","320","天津","武汉","三亚",NA,NA,"或333/332/E90执行","6","天津武汉"
"110","GS7860","320","三亚","武汉","天津",NA,NA,"或333/332/E90执行","7","三亚武汉"
"121","GS7901","320","天津","西安","贵阳",NA,NA,"或333/332/E90执行","3","天津西安"
"122","GS7902","320","贵阳","西安","天津",NA,NA,"或333/332/E90执行","3","贵阳西安"
"125","GS7930","320","贵阳","西安","天津",NA,NA,"或333/332/E90执行","7","贵阳西安"
"139","BK2811","737","天津","长沙","昆明",NA,NA,NA,"4","天津长沙"
"140","BK2812","737","昆明","长沙","天津",NA,NA,NA,"4","昆明长沙"
"146","BK2823","737","天津","西安","南宁",NA,NA,NA,"7","天津西安"
"147","BK2824","737","南宁","西安","天津",NA,NA,NA,"7","南宁西安"
"151","BK2835","737","天津","宁波","三亚",NA,NA,NA,"4","天津宁波"
"152","BK2836","737","三亚","宁波","天津",NA,NA,NA,"4","三亚宁波"
"157","BK2859","737","天津","深圳","百色",NA,NA,"待航路走向批复后执行","2","天津深圳"
"158","BK2860","737","百色","深圳","天津",NA,NA,"待航路走向批复后执行","2","百色深圳"
"161","BK2931","737","天津","长沙","湛江",NA,NA,NA,"4","天津长沙"
"162","BK2931","737","天津","长沙","湛江",NA,NA,NA,"3","天津长沙"
"163","BK2932","737","湛江","长沙","天津",NA,NA,NA,"4","湛江长沙"
"164","BK2932","737","湛江","长沙","天津",NA,NA,NA,"3","湛江长沙"
"165","BK2945","737","天津","深圳","海口",NA,NA,NA,"3","天津深圳"
"166","BK2946","737","海口","深圳","天津",NA,NA,NA,"3","海口深圳"
"167","BK2965","737","天津","西宁","乌鲁木齐",NA,NA,"执行日期0327-0630执行","1","天津西宁"
"168","BK2965","737","天津","西宁","乌鲁木齐",NA,NA,"执行日期0327-0630执行","3","天津西宁"
"169","BK2966","737","乌鲁木齐","西宁","天津",NA,NA,"执行日期0327-0630执行","3","乌鲁木齐西宁"
