flight,plane,city1,city2,city3,city4,city5,remarks,flight_account,city1_2
CA4375/6,319,呼和浩特,三亚,呼和浩特,NA,NA,NA,5,呼和浩特三亚
JD5117/8,319,北京首都,包头,北京首都,NA,NA,或320执行 旅游包机,7,北京首都包头
JD5187/8,319,北京首都,包头,北京首都,NA,NA,或320执行 旅游包机,7,北京首都包头
JD5245/6,319,北京首都,海拉尔,北京首都,NA,NA,或320执行 旅游包机,7,北京首都海拉尔
JD5267/8,319,呼和浩特,乌鲁木齐,呼和浩特,NA,NA,或320执行 旅游包机,1,呼和浩特乌鲁木齐
JD5267/8,319,呼和浩特,乌鲁木齐,呼和浩特,NA,NA,或320执行 旅游包机,1,呼和浩特乌鲁木齐
JD5267/8,319,呼和浩特,乌鲁木齐,呼和浩特,NA,NA,或320执行 旅游包机,1,呼和浩特乌鲁木齐
JD5267/8,319,呼和浩特,乌鲁木齐,呼和浩特,NA,NA,或320执行 旅游包机,1,呼和浩特乌鲁木齐
JD5267/8,319,呼和浩特,乌鲁木齐,呼和浩特,NA,NA,或320执行 旅游包机,2,呼和浩特乌鲁木齐
JD5267/8,319,呼和浩特,乌鲁木齐,呼和浩特,NA,NA,或320执行 旅游包机,1,呼和浩特乌鲁木齐
JD5285/6,319,北京首都,呼和浩特,北京首都,NA,NA,或320执行 旅游包机,7,北京首都呼和浩特
JD5289/90,319,北京首都,呼和浩特,北京首都,NA,NA,或320执行 旅游包机.,1,北京首都呼和浩特
JD5289/90,319,北京首都,呼和浩特,北京首都,NA,NA,或320执行 旅游包机,6,北京首都呼和浩特
JD5291/2,319,北京首都,呼和浩特,北京首都,NA,NA,或320执行 旅游包机 执行日期0715-1029执行,7,北京首都呼和浩特
9C8873/4,320,石家庄,大连,石家庄,NA,NA,执行日期：0901-1029,3,石家庄大连
9C8873/4,320,石家庄,大连,石家庄,NA,NA,"执行日期：0701-1029_x005F_x000D__x000D_
调整取消（调为147）：0901-1029",3,石家庄大连
9C8873/4,320,石家庄,大连,石家庄,NA,NA,NA,1,石家庄大连
9C8893/4,320,石家庄,南京,石家庄,NA,NA,NA,1,石家庄南京
9C8893/4,320,石家庄,南京,石家庄,NA,NA,NA,6,石家庄南京
9C8905/6,320,石家庄,福州,石家庄,NA,NA,取消：0710-1029,4,石家庄福州
9C8975/6,320,石家庄,厦门,石家庄,NA,NA,NA,4,石家庄厦门
9C8975/6,320,石家庄,厦门,石家庄,NA,NA,NA,3,石家庄厦门
9C8993/4,320,石家庄,重庆,石家庄,NA,NA,执行日期：0901-1029,7,石家庄重庆
NS3207/8,320,石家庄,三亚,石家庄,NA,NA,执行日期：3月27-5月31,7,石家庄三亚
NS3209/10,320,石家庄,成都,石家庄,NA,NA,或737/738/ERJ/E90执行,7,石家庄成都
NS3211/2,320,石家庄,杭州,石家庄,NA,NA,执行日期：5月1日-10月29日,7,石家庄杭州
NS3221/2,320,石家庄,海口,石家庄,NA,NA,执行日期：3月27-4月30,7,石家庄海口
NS3239/40,320,石家庄,唐山,石家庄,NA,NA,执行日期：3月27-10月29,7,石家庄唐山
ZH9145/6,320,太原,昆明,太原,NA,NA,NA,7,太原昆明
ZH9175/6,320,呼和浩特,海拉尔,呼和浩特,NA,NA,或738/733执行 执行日期0701-1029执行,7,呼和浩特海拉尔
CA8219,321,武汉,呼和浩特,海拉尔,NA,NA,执行日期0701-1024执行,7,武汉呼和浩特
CA8220,321,海拉尔,呼和浩特,武汉,NA,NA,执行日期0701-1024执行,7,海拉尔呼和浩特
CZ6699/700,321,北京首都,长治,北京首都,NA,NA,或738/73G/733/320执行,2,北京首都长治
CA1101/2,733,北京首都,呼和浩特,北京首都,NA,NA,NA,7,北京首都呼和浩特
CA1109/10,733,北京首都,锡林浩特,北京首都,NA,NA,NA,7,北京首都锡林浩特
CA1119/20,733,北京首都,大同,北京首都,NA,NA,NA,7,北京首都大同
CA1123/4,733,北京首都,通辽,北京首都,NA,NA,NA,7,北京首都通辽
CA1127/8,733,呼和浩特,满洲里,呼和浩特,NA,NA,NA,2,呼和浩特满洲里
CA1131/2,733,北京首都,海拉尔,北京首都,NA,NA,NA,2,北京首都海拉尔
CA1131/2,733,北京首都,海拉尔,北京首都,NA,NA,NA,2,北京首都海拉尔
CA1133/4,733,北京首都,运城,北京首都,NA,NA,NA,7,北京首都运城
CA1137/8,733,北京首都,呼和浩特,北京首都,NA,NA,NA,2,北京首都呼和浩特
CA1137/8,733,北京首都,呼和浩特,北京首都,NA,NA,NA,1,北京首都呼和浩特
CA1139/40,733,北京首都,运城,北京首都,NA,NA,NA,7,北京首都运城
CA1227/8,733,呼和浩特,海拉尔,呼和浩特,NA,NA,NA,2,呼和浩特海拉尔
CA1227/8,733,呼和浩特,海拉尔,呼和浩特,NA,NA,NA,5,呼和浩特海拉尔
CA1239/40,733,呼和浩特,赤峰,呼和浩特,NA,NA,NA,5,呼和浩特赤峰
CA1239/40,733,呼和浩特,赤峰,呼和浩特,NA,NA,NA,2,呼和浩特赤峰
CA1241/2,733,北京首都,满洲里,北京首都,NA,NA,NA,4,北京首都满洲里
CA1241/2,733,北京首都,满洲里,北京首都,NA,NA,NA,3,北京首都满洲里
CA1245/6,733,北京首都,通辽,北京首都,NA,NA,NA,7,北京首都通辽
CA1249/50,733,呼和浩特,通辽,呼和浩特,NA,NA,NA,7,呼和浩特通辽
CA1281/2,733,北京首都,赤峰,北京首都,NA,NA,NA,7,北京首都赤峰
CA1283/4,733,北京首都,乌兰浩特,北京首都,NA,NA,NA,7,北京首都乌兰浩特
CA1299/300,733,呼和浩特,海拉尔,呼和浩特,NA,NA,执行日期0701-1024执行,7,呼和浩特海拉尔
CA1399/400,733,呼和浩特,锡林浩特,呼和浩特,NA,NA,NA,7,呼和浩特锡林浩特
CA1529/30,733,天津,厦门,天津,NA,NA,"或B733/73G执行 _x005F_x000D__x000D_
执行日期：3月27-10月29日；临时取消：6月11-6月30日_x005F_x000D__x000D_
取消：0701-0731",1,天津厦门
CA1529/30,733,天津,厦门,天津,NA,NA,或B733/73G执行 ,3,天津厦门
CA1633/4,733,北京首都,海拉尔,北京首都,NA,NA,NA,4,北京首都海拉尔
CA1633/4,733,北京首都,海拉尔,北京首都,NA,NA,NA,3,北京首都海拉尔
CZ6637/8,733,呼和浩特,北京首都,呼和浩特,NA,NA,执行日期0701-1029执行,7,呼和浩特北京首都
BK2825/6,735,天津,杭州,天津,NA,NA,或738执行,7,天津杭州
CA1125/6,737,北京首都,呼和浩特,北京首都,NA,NA,NA,7,北京首都呼和浩特
HU7667/8,737,太原,北京首都,太原,NA,NA,执行日期：0901-1029,1,太原北京首都
MU2133/4,737,太原,北京首都,太原,NA,NA,执行日期：0909-1029,2,太原北京首都
ZH9819/20,737,石家庄,包头,石家庄,NA,NA,NA,4,石家庄包头
BK2801/2,738,天津,威海,天津,NA,NA,执行日期：0720-1029,3,天津威海
BK2803/4,738,天津,成都,天津,NA,NA,执行日期：0901-1029,3,天津成都
BK2813/4,738,天津,张家界,天津,NA,NA,NA,7,天津张家界
BK2815/6,738,天津,延吉,天津,NA,NA,"执行日期0701-0831执行_x005F_x000D__x000D_
取消：0707-0831",7,天津延吉
BK2817/8,738,天津,海拉尔,天津,NA,NA,执行日期：0701-1029,4,天津海拉尔
BK2819/20,738,天津,桂林,天津,NA,NA,NA,7,天津桂林
BK2832,738,三亚,珠海,天津,NA,NA,NA,4,三亚珠海
BK2833/4,738,天津,哈尔滨,天津,NA,NA,NA,3,天津哈尔滨
BK2837/8,738,天津,包头,天津,NA,NA,执行日期：0327-1029,1,天津包头
BK2837/8,738,天津,包头,天津,NA,NA,"执行日期：0327-1029_x005F_x000D__x000D_
取消：0811-1029",3,天津包头
BK2837/8,738,天津,包头,天津,NA,NA,NA,2,天津包头
BK2837/8,738,天津,包头,天津,NA,NA,NA,1,天津包头
BK2851/2,738,天津,成都,天津,NA,NA,NA,7,天津成都
BK2857,738,天津,南京,泉州,NA,NA,NA,7,天津南京
BK2858,738,泉州,南京,天津,NA,NA,NA,7,泉州南京
BK2871,738,天津,郑州,贵阳,NA,NA,执行日期0701-1029执行,3,天津郑州
BK2872,738,贵阳,郑州,天津,NA,NA,执行日期0701-1029执行,3,贵阳郑州
CA1105/6,738,北京首都,呼和浩特,北京首都,NA,NA,NA,7,北京首都呼和浩特
CA1107/8,738,北京首都,包头,北京首都,NA,NA,NA,7,北京首都包头
CA1111/2,738,北京首都,呼和浩特,北京首都,NA,NA,NA,7,北京首都呼和浩特
CA1115/6,738,北京首都,呼和浩特,北京首都,NA,NA,NA,5,北京首都呼和浩特
CA1121/2,738,北京首都,包头,北京首都,NA,NA,NA,5,北京首都包头
CA1135/6,738,北京首都,包头,北京首都,NA,NA,NA,7,北京首都包头
CA1141/2,738,北京首都,包头,北京首都,NA,NA,NA,6,北京首都包头
CA1143/4,738,北京首都,鄂尔多斯,北京首都,NA,NA,NA,7,北京首都鄂尔多斯
CA1145/6,738,北京首都,太原,北京首都,NA,NA,NA,2,北京首都太原
CA1145/6,738,北京首都,太原,北京首都,NA,NA,NA,5,北京首都太原
CA1149/50,738,北京首都,鄂尔多斯,北京首都,NA,NA,NA,1,北京首都鄂尔多斯
CA1149/50,738,北京首都,鄂尔多斯,北京首都,NA,NA,NA,4,北京首都鄂尔多斯
CA1237/8,738,北京首都,运城,北京首都,NA,NA,NA,7,北京首都运城
CA1251/2,738,天津,乌鲁木齐,天津,NA,NA,或73G执行 执行日期0701-1029执行,4,天津乌鲁木齐
CA1251/2,738,天津,乌鲁木齐,天津,NA,NA,或73G执行 执行日期0701-1029执行,3,天津乌鲁木齐
CA1253/4,738,北京首都,包头,北京首都,NA,NA,NA,7,北京首都包头
CA1265/6,738,天津,西安,天津,NA,NA,或73G/733执行,5,天津西安
CA1265/6,738,天津,西安,天津,NA,NA,或73G/733执行,2,天津西安
CA1371/2,738,天津,深圳,天津,NA,NA,或73G/733执行 执行日期0701-1029执行,1,天津深圳
CA1371/2,738,天津,深圳,天津,NA,NA,或73G/733执行 执行日期0701-1029执行,3,天津深圳
CA1371/2,738,天津,深圳,天津,NA,NA,或73G/733执行 执行日期0701-1029执行,3,天津深圳
CA1389/90,738,天津,三亚,天津,NA,NA,或73G/733执行 执行日期0327-0531执行,4,天津三亚
CA1389/90,738,天津,三亚,天津,NA,NA,或73G/733执行 执行日期0327-0531执行,3,天津三亚
CA1401/2,738,天津,昆明,天津,NA,NA,或B73G/733执行,7,天津昆明
CA1449/50,738,天津,海拉尔,天津,NA,NA,或B733/73G执行 执行日期0701-1029执行,7,天津海拉尔
CA1529/30,738,天津,厦门,天津,NA,NA,"或B733/73G执行 _x005F_x000D__x000D_
执行日期：3月27-10月29日；临时取消：6月11-6月30日_x005F_x000D__x000D_
取消：0701-0731",1,天津厦门
CA1529/30,738,天津,厦门,天津,NA,NA,"或B733/73G执行_x005F_x000D__x000D_
执行日期：0327-1029_x005F_x000D__x000D_
取消：0701-0731",2,天津厦门
CA1655/6,738,北京首都,海拉尔,北京首都,NA,NA,执行日期：6月3-6月30日,3,北京首都海拉尔
CA1693/4,738,北京首都,鄂尔多斯,北京首都,NA,NA,NA,7,北京首都鄂尔多斯
CA1913/4,738,呼和浩特,海口,呼和浩特,NA,NA,执行日期0701-1024执行,7,呼和浩特海口
CA1927/8,738,呼和浩特,长沙,呼和浩特,NA,NA,执行日期0701-1024执行,7,呼和浩特长沙
CA1933/4,738,呼和浩特,长沙,呼和浩特,NA,NA,执行日期0701-1024执行,7,呼和浩特长沙
CA6001/2,738,北京首都,呼和浩特,北京首都,NA,NA,NA,1,北京首都呼和浩特
CA6001/2,738,北京首都,呼和浩特,北京首都,NA,NA,NA,1,北京首都呼和浩特
CA6001/2,738,北京首都,呼和浩特,北京首都,NA,NA,NA,1,北京首都呼和浩特
CA6001/2,738,北京首都,呼和浩特,北京首都,NA,NA,NA,2,北京首都呼和浩特
CA6003/4,738,呼和浩特,北京首都,呼和浩特,NA,NA,NA,3,呼和浩特北京首都
CA6003/4,738,呼和浩特,北京首都,呼和浩特,NA,NA,NA,2,呼和浩特北京首都
CA6005/6,738,包头,北京首都,包头,NA,NA,NA,1,包头北京首都
CA6005/6,738,包头,北京首都,包头,NA,NA,NA,1,包头北京首都
CA6005/6,738,包头,北京首都,包头,NA,NA,NA,1,包头北京首都
CA6005/6,738,包头,北京首都,包头,NA,NA,NA,4,包头北京首都
CA6007/8,738,北京首都,包头,北京首都,NA,NA,NA,1,北京首都包头
CA6007/8,738,北京首都,包头,北京首都,NA,NA,NA,1,北京首都包头
CA6007/8,738,北京首都,包头,北京首都,NA,NA,NA,1,北京首都包头
CA7501/2,738,呼和浩特,长沙,呼和浩特,NA,NA,执行日期0801-1024执行,2,呼和浩特长沙
CA8239/40,738,呼和浩特,武汉,呼和浩特,NA,NA,执行日期0701-1024执行,7,呼和浩特武汉
FM9221/2,738,鄂尔多斯,西安,鄂尔多斯,NA,NA,或B73G执行,7,鄂尔多斯西安
FM9287/8,738,天津,昆明,天津,NA,NA,或B752/B73G执行,7,天津昆明
HU7341/2,738,北京首都,呼和浩特,北京首都,NA,NA,执行日期：0901-1029,1,北京首都呼和浩特
HU7863,738,太原,合肥,厦门,NA,NA,或B733执行,7,太原合肥
HU7864,738,厦门,合肥,太原,NA,NA,或B733执行,6,厦门合肥
HU7864,738,厦门,合肥,太原,NA,NA,或B733执行,1,厦门合肥
KN2259/60,738,北京南苑,鄂尔多斯,北京南苑,NA,NA,执行日期：0905-1029,4,北京南苑鄂尔多斯
KN2259/60,738,北京南苑,鄂尔多斯,北京南苑,NA,NA,"执行日期：0719-1029_x005F_x000D__x000D_
调整取消（调为1357）：0905-1029",3,北京南苑鄂尔多斯
KN2261/2,738,北京南苑,鄂尔多斯,北京南苑,NA,NA,或73G执行,7,北京南苑鄂尔多斯
KN2265/6,738,北京南苑,锡林浩特,北京南苑,NA,NA,执行日期：6月6-10月29日,7,北京南苑锡林浩特
KN2749/50,738,北京南苑,海拉尔,北京南苑,NA,NA,NA,7,北京南苑海拉尔
KN2911/2,738,北京南苑,包头,北京南苑,NA,NA,执行日期：3月27日-10月29,7,北京南苑包头
KN2919/20,738,北京南苑,鄂尔多斯,北京南苑,NA,NA,执行日期：0815-1029,7,北京南苑鄂尔多斯
KN2941/2,738,北京南苑,鄂尔多斯,北京南苑,NA,NA,执行日期：3月27至10月29,7,北京南苑鄂尔多斯
MF8379/80,738,天津,深圳,天津,NA,NA,或B757执行,7,天津深圳
MU5293/4,738,太原,北京首都,太原,NA,NA,NA,7,太原北京首都
NS3255/6,738,石家庄,呼和浩特,石家庄,NA,NA,NA,7,石家庄呼和浩特
CA1319/20,73G,天津,深圳,天津,NA,NA,或B733/738执行,7,天津深圳
CA7503/4,73G,呼和浩特,长沙,呼和浩特,NA,NA,执行日期0701-1024执行,7,呼和浩特长沙
KN2289/90,73G,北京南苑,鄂尔多斯,北京南苑,NA,NA,或738执行,7,北京南苑鄂尔多斯
KN2291/2,73G,北京南苑,海拉尔,北京南苑,NA,NA,或738执行,7,北京南苑海拉尔
KN2923/4,73G,北京南苑,长治,北京南苑,NA,NA,或738执行,7,北京南苑长治
KN2935/6,73G,北京南苑,满洲里,北京南苑,NA,NA,或738执行,7,北京南苑满洲里
KN2937/8,73G,北京南苑,呼和浩特,北京南苑,NA,NA,或738执行,7,北京南苑呼和浩特
KN2943/4,73G,北京南苑,长治,北京南苑,NA,NA,NA,7,北京南苑长治
KN2945/6,73G,北京南苑,包头,北京南苑,NA,NA,NA,7,北京南苑包头
