"","flight_num","plane_num","city1","city2","city3","city4","city5"
"1","CA4375/6","319","呼和浩特","三亚","呼和浩特",NA,NA
"2","JD5117/8","319","北京首都","包头","北京首都",NA,NA
"3","JD5149","319","北京首都","二连浩特",NA,NA,NA
"4","JD5150","319","二连浩特","北京首都",NA,NA,NA
"5","JD5187/8","319","北京首都","包头","北京首都",NA,NA
"6","JD5245/6","319","北京首都","海拉尔","北京首都",NA,NA
"7","JD5267/8","319","呼和浩特","乌鲁木齐","呼和浩特",NA,NA
"8","JD5267/8","319","呼和浩特","乌鲁木齐","呼和浩特",NA,NA
"9","JD5267/8","319","呼和浩特","乌鲁木齐","呼和浩特",NA,NA
"10","JD5267/8","319","呼和浩特","乌鲁木齐","呼和浩特",NA,NA
"11","JD5267/8","319","呼和浩特","乌鲁木齐","呼和浩特",NA,NA
"12","JD5267/8","319","呼和浩特","乌鲁木齐","呼和浩特",NA,NA
"13","JD5285/6","319","北京首都","呼和浩特","北京首都",NA,NA
"14","JD5289/90","319","北京首都","呼和浩特","北京首都",NA,NA
"15","JD5289/90","319","北京首都","呼和浩特","北京首都",NA,NA
"16","JD5291/2","319","北京首都","呼和浩特","北京首都",NA,NA
"17","JD5311/2","319","呼和浩特","武汉","海口","武汉","呼和浩特"
"18","9C8873/4","320","石家庄","大连","石家庄",NA,NA
"19","9C8873/4","320","石家庄","大连","石家庄",NA,NA
"20","9C8873/4","320","石家庄","大连","石家庄",NA,NA
"21","9C8893/4","320","石家庄","南京","石家庄",NA,NA
"22","9C8893/4","320","石家庄","南京","石家庄",NA,NA
"23","9C8905/6","320","石家庄","福州","石家庄",NA,NA
"24","9C8975/6","320","石家庄","厦门","石家庄",NA,NA
"25","9C8975/6","320","石家庄","厦门","石家庄",NA,NA
"26","9C8993/4","320","石家庄","重庆","石家庄",NA,NA
"27","NS3207/8","320","石家庄","三亚","石家庄",NA,NA
"28","NS3209/10","320","石家庄","成都","石家庄",NA,NA
"29","NS3211/2","320","石家庄","杭州","石家庄",NA,NA
"30","NS3221/2","320","石家庄","海口","石家庄",NA,NA
"31","NS3239/40","320","石家庄","唐山","石家庄",NA,NA
"32","NS3241/2","320","石家庄","重庆","南宁","重庆","石家庄"
"33","NS3245/6","320","石家庄","宁波","长沙","宁波","石家庄"
"34","ZH9145/6","320","太原","昆明","太原",NA,NA
"35","ZH9175/6","320","呼和浩特","海拉尔","呼和浩特",NA,NA
"36","CA8219","321","武汉","呼和浩特","海拉尔",NA,NA
"37","CA8220","321","海拉尔","呼和浩特","武汉",NA,NA
"38","CZ6699","321","北京首都","长治",NA,NA,NA
"39","CZ6699","321","北京首都","长治",NA,NA,NA
"40","CZ6699/700","321","北京首都","长治","北京首都",NA,NA
"41","CZ6700","321","长治","北京首都",NA,NA,NA
"42","CA1101/2","733","北京首都","呼和浩特","北京首都",NA,NA
"43","CA1109/10","733","北京首都","锡林浩特","北京首都",NA,NA
"44","CA1119/20","733","北京首都","大同","北京首都",NA,NA
"45","CA1123/4","733","北京首都","通辽","北京首都",NA,NA
"46","CA1127","733","呼和浩特","满洲里",NA,NA,NA
"47","CA1127/8","733","呼和浩特","满洲里","呼和浩特",NA,NA
"48","CA1128","733","满洲里","呼和浩特",NA,NA,NA
"49","CA1131/2","733","北京首都","海拉尔","北京首都",NA,NA
"50","CA1131/2","733","北京首都","海拉尔","北京首都",NA,NA
"51","CA1133/4","733","北京首都","运城","北京首都",NA,NA
"52","CA1137","733","北京首都","呼和浩特",NA,NA,NA
"53","CA1137","733","北京首都","呼和浩特",NA,NA,NA
"54","CA1137/8","733","北京首都","呼和浩特","北京首都",NA,NA
"55","CA1137/8","733","北京首都","呼和浩特","北京首都",NA,NA
"56","CA1138","733","呼和浩特","北京首都",NA,NA,NA
"57","CA1139/40","733","北京首都","运城","北京首都",NA,NA
"58","CA1227/8","733","呼和浩特","海拉尔","呼和浩特",NA,NA
"59","CA1227/8","733","呼和浩特","海拉尔","呼和浩特",NA,NA
"60","CA1239/40","733","呼和浩特","赤峰","呼和浩特",NA,NA
"61","CA1239/40","733","呼和浩特","赤峰","呼和浩特",NA,NA
"62","CA1241/2","733","北京首都","满洲里","北京首都",NA,NA
"63","CA1241/2","733","北京首都","满洲里","北京首都",NA,NA
"64","CA1245/6","733","北京首都","通辽","北京首都",NA,NA
"65","CA1249/50","733","呼和浩特","通辽","呼和浩特",NA,NA
"66","CA1281/2","733","北京首都","赤峰","北京首都",NA,NA
"67","CA1283/4","733","北京首都","乌兰浩特","北京首都",NA,NA
"68","CA1299/300","733","呼和浩特","海拉尔","呼和浩特",NA,NA
"69","CA1399/400","733","呼和浩特","锡林浩特","呼和浩特",NA,NA
"70","CA1529/30","733","天津","厦门","天津",NA,NA
"71","CA1529/30","733","天津","厦门","天津",NA,NA
"72","CA1633/4","733","北京首都","海拉尔","北京首都",NA,NA
"73","CA1633/4","733","北京首都","海拉尔","北京首都",NA,NA
"74","CA1681","733","北京首都","呼和浩特",NA,NA,NA
"75","CA1682","733","呼和浩特","北京首都",NA,NA,NA
"76","CA1683","733","北京首都","呼和浩特",NA,NA,NA
