"","city1_2","flag","flight_num","plane_num","plane_no_num"
"1","南京哈尔滨",2,"3U8839/40","320",2
"2","南京哈尔滨",2,"MF8067/8","738",2
"3","南京哈尔滨",2,"MU2701","320",1
"4","哈尔滨南京",2,"MU2702","320",1
"5","南京哈尔滨",2,"ZH9817","738",1
"6","哈尔滨南京",2,"ZH9818","738",1
"7","大连西安",3,"CZ6423/4","319",6
"8","大连西安",3,"CZ6433/4","319",2
"9","西安大连",3,"GS7401/2","E90",2
"10","大连西安",3,"HU7687","738",1
"11","西安大连",3,"HU7688","738",1
"12","西安大连",3,"MU2297","320",1
"13","大连西安",3,"MU2298","320",1
"14","西安大连",3,"ZH9383","320",1
"15","大连西安",3,"ZH9384","320",1
"16","义乌广州",6,"CZ3309/10","733",2
"17","义乌广州",6,"CZ3727/8","733",2
"18","义乌广州",6,"CZ3795/6","733",2
"19","义乌广州",6,"CZ3883/4","733",2
"20","义乌广州",6,"CZ3885/6","733",2
"21","广州福州",7,"CZ3505/6","319",2
"22","广州福州",7,"CZ3647/8","319",2
"23","广州福州",7,"CZ3649/50","319",4
"24","广州福州",7,"CZ3689/90","319",2
"25","广州福州",7,"CZ3877/8","319",2
"26","广州福州",7,"HU7373/4","738",4
"27","福州广州",7,"MF8325","752",1
"28","广州福州",7,"MF8326","752",1
"29","广州福州",7,"MF8329/30","738",2
"30","广州福州",7,"MF8347/8","738",2
"31","西安沈阳",8,"9C8951/2","320",2
"32","沈阳西安",8,"CZ6401/2","M90",2
"33","沈阳西安",8,"CZ6469/70","319",2
"34","西安沈阳",8,"CZ6515/6","320",4
"35","西安沈阳",8,"HU7875","738",2
"36","沈阳西安",8,"HU7876","737",1
"37","沈阳西安",8,"HU7876","738",2
"38","西安沈阳",8,"MU5729/30","73G",2
"39","沈阳西安",8,"ZH9447/8","320",2
"40","沈阳西安",8,"ZH9449","320",1
"41","西安沈阳",8,"ZH9450","320",1
"42","重庆兰州",9,"HU7073","733",1
"43","重庆兰州",9,"HU7073","738",1
"44","兰州重庆",9,"HU7074","733",1
"45","兰州重庆",9,"HU7074","738",1
"46","重庆兰州",9,"SC4811/2","738",2
"47","杭州郑州",10,"3U8953/4","320",2
"48","郑州杭州",10,"CZ3745/6","733",4
"49","郑州杭州",10,"CZ3839/40","733",2
"50","郑州杭州",10,"CZ3939/40","738",2
"51","郑州杭州",10,"CZ3981","738",1
"52","杭州郑州",10,"CZ3982","738",2
"53","郑州杭州",10,"CZ6565/6","733",2
"54","郑州杭州",10,"MF8361/2","738",2
"55","杭州郑州",10,"MF8369/70","73G",4
"56","郑州杭州",10,"MU5379/80","320",4
"57","郑州杭州",10,"VD8309/10","E90",2
"58","昆明贵阳",11,"3U8941/2","320",2
"59","昆明贵阳",11,"8L9983","73G",2
"60","贵阳昆明",11,"8L9984","73G",2
"61","贵阳昆明",11,"CA1751","319",1
"62","昆明贵阳",11,"CA1754","320",1
"63","贵阳昆明",11,"CZ3423/4","73G",2
"64","贵阳昆明",11,"CZ3665/6","73G",2
"65","昆明贵阳",11,"KY8011/2","73G",2
"66","昆明贵阳",11,"KY8087/8","737",2
"67","昆明贵阳",11,"MU2577","CR2",1
"68","贵阳昆明",11,"MU2578","CR2",1
"69","长沙三亚",12,"BK2887","738",1
"70","三亚长沙",12,"BK2888","738",1
"71","长沙三亚",12,"CZ3643/4","320",2
"72","长沙三亚",12,"CZ6719/20","320",2
"73","三亚长沙",12,"HU7023","738",1
"74","长沙三亚",12,"HU7023/4","737",4
"75","长沙三亚",12,"HU7024","738",1
"76","长沙三亚",12,"JD5179/80","319",2
"77","长沙三亚",12,"MU2275","73G",1
"78","三亚长沙",12,"MU2276","73G",2
"79","长沙三亚",12,"ZH9157/8","320",2
"80","烟台成都",13,"SC4743/4","73G",2
"81","贵阳成都",14,"3U8611/2","321",2
"82","成都贵阳",14,"3U8639/40","319",2
"83","贵阳成都",14,"3U8675/6","ERJ",2
"84","贵阳成都",14,"CA4435/6","733",2
"85","贵阳成都",14,"CZ3671/2","738",2
"86","贵阳成都",14,"CZ3693/4","73G",2
"87","贵阳成都",14,"CZ3767/8","73G",2
"88","成都贵阳",14,"EU2731/2","319",4
"89","贵阳成都",14,"G52613/4","CR2",2
"90","烟台广州",15,"SC4897/8","733",2
"91","烟台杭州",16,"SC4813","CR2",1
"92","杭州烟台",16,"SC4814","CR2",1
"93","杭州烟台",16,"SC4885/6","737",8
"94","杭州烟台",16,"SC4885/6","738",2
"95","三亚合肥",18,"HU7659","738",1
"96","三亚合肥",18,"HU7659/60","737",4
"97","合肥三亚",18,"HU7660","738",1
"98","三亚合肥",18,"MU5643/4","320",4
"99","重庆济南",19,"3U8929/30","319",4
"100","重庆济南",19,"HU7349/50","737",2
"101","济南重庆",19,"MU5471","319",2
"102","重庆济南",19,"MU5472","319",2
"103","重庆济南",19,"PN6711/2","319",2
"104","重庆济南",19,"SC1193/4","733",2
"105","重庆济南",19,"SC1199/1200","733",4
"106","重庆济南",19,"SC4761/2","CR2",2
"107","济南重庆",19,"SC4943/4","738",4
"108","长春南京",20,"CZ6545/6","319",2
"109","南京长春",20,"MU2771","320",4
"110","长春南京",20,"MU2772","320",3
"111","南京长春",20,"MU2871/2","ERJ",2
"112","南京长春",20,"ZH9857","738",1
"113","长春南京",20,"ZH9858","738",1
"114","重庆南京",22,"3U8763/4","319",4
"115","重庆南京",22,"3U8839/40","320",2
"116","重庆南京",22,"3U8921/2","320",2
"117","重庆南京",22,"8L9913/4","737",2
"118","重庆南京",22,"CA4545/6","73G",2
"119","重庆南京",22,"CA4557/8","737",2
"120","重庆南京",22,"CZ3427/8","320",2
"121","南京重庆",22,"MU2835","320",1
"122","重庆南京",22,"MU2836","320",1
"123","南京重庆",22,"MU2845","320",1
"124","重庆南京",22,"MU2846","320",1
"125","重庆南京",22,"MU2855/6","320",2
"126","重庆南京",22,"OQ2319/20","319",4
"127","重庆南京",22,"OQ2385/6","320",6
"128","重庆南京",22,"PN6201/2","319",2
"129","重庆南京",22,"PN6307/8","737",2
"130","南京重庆",22,"SC4883/4","738",2
"131","宁波长沙",23,"GS6503/4","EMB",4
"132","宁波长沙",23,"HU7355/6","734",2
"133","宁波长沙",23,"HU7357","738",1
"134","长沙宁波",23,"HU7358","733",1
"135","长沙宁波",23,"MF8515/6","738",2
"136","长沙宁波",23,"MF8583/4","738",2
"137","宁波长沙",23,"MU2395/6","320",2
"138","长沙宁波",23,"MU5249/50","320",2
"139","宁波长沙",23,"NS3245/6","320",2
"140","重庆石家庄",24,"9C8993/4","320",2
"141","重庆石家庄",24,"MU5793","73G",1
"142","石家庄重庆",24,"MU5794","73G",3
"143","石家庄重庆",24,"NS3241/2","320",2
"144","重庆石家庄",24,"ZH9161/2","320",2
"145","广州舟山",25,"ZH9659","320",1
"146","舟山广州",25,"ZH9660","320",1
"147","南宁合肥",26,"GS6525/6","E90",2
"148","南宁合肥",26,"KY8031/2","737",2
"149","青岛银川",27,"SC4721","733",1
"150","银川青岛",27,"SC4722","733",1
"151","太原合肥",29,"HU7863","738",1
"152","合肥太原",29,"HU7864","738",2
"153","昆明重庆",30,"3U8721","ERJ",1
"154","重庆昆明",30,"3U8722","ERJ",1
"155","昆明重庆",30,"3U8967/8","ERJ",2
"156","昆明重庆",30,"8L9913/4","737",2
"157","昆明重庆",30,"8L9919/20","737",2
"158","重庆昆明",30,"CZ6403/4","321",4
"159","重庆昆明",30,"CZ6425/6","321",4
"160","重庆昆明",30,"CZ6459/60","320",2
"161","重庆昆明",30,"CZ6949/50","73G",2
"162","昆明重庆",30,"KY8027/8","737",4
"163","重庆昆明",30,"KY8053/4","73G",4
"164","重庆昆明",30,"MU2975/6","320",2
"165","重庆昆明",30,"MU2985/6","320",2
"166","昆明重庆",30,"MU5721","73G",1
"167","重庆昆明",30,"MU5722","73G",1
"168","昆明重庆",30,"MU5769","320",1
"169","重庆昆明",30,"MU5770","320",1
"170","昆明重庆",30,"MU5793","73G",1
"171","重庆昆明",30,"MU5794","73G",3
"172","昆明重庆",30,"MU5829","73G",1
"173","重庆昆明",30,"MU5830","73G",1
"174","昆明重庆",30,"MU5889/90","73G",2
"175","重庆昆明",30,"OQ2327","320",1
"176","昆明重庆",30,"OQ2328","320",1
"177","重庆昆明",30,"PN6105/6","319",2
"178","乌鲁木齐青岛",31,"CZ6933/4","73G",4
"179","乌鲁木齐青岛",31,"CZ6961/2","73G",2
"180","青岛乌鲁木齐",31,"SC4611/2","738",4
"181","青岛乌鲁木齐",31,"SC4611/2","CR2",4
"182","青岛乌鲁木齐",31,"SC4633/4","733",2
"183","南阳广州",32,"CZ3221/2","ERJ",2
"184","南阳广州",32,"CZ3383/4","ERJ",2
"185","杭州大连",33,"3U8663/4","320",2
"186","杭州大连",33,"3U8943/4","320",2
"187","杭州大连",33,"CA1765/6","319",2
"188","大连杭州",33,"CZ6327/8","321",4
"189","大连杭州",33,"CZ6527/8","319",4
"190","大连杭州",33,"CZ6709/10","319",4
"191","杭州大连",33,"MF8025/6","738",2
"192","杭州大连",33,"MU2399/400","320",2
"193","重庆武汉",34,"3U8795/6","ERJ",4
"194","重庆武汉",34,"CZ3437/8","738",2
"195","重庆武汉",34,"CZ3445/6","73G",2
"196","武汉重庆",34,"MF8483/4","738",2
"197","武汉重庆",34,"MU2919/20","EMB",2
"198","重庆武汉",34,"OQ2385/6","320",4
"199","重庆武汉",34,"OQ2389/90","320",2
"200","重庆武汉",34,"PN6301/2","319",2
"201","武汉重庆",34,"SC4639/40","733",2
"202","郑州北海",39,"CZ6347/8","738",2
"203","长沙温州",40,"CA4577/8","752",2
"204","长沙温州",40,"CZ6955/6","73G",4
"205","长沙温州",40,"EU2227/8","319",6
"206","福州沈阳",41,"MF8029/30","738",2
"207","福州沈阳",41,"MF8061/2","738",2
"208","鄂尔多斯哈尔滨",42,"MU5837/8","737",2
"209","沈阳银川",44,"CZ6663/4","319",2
"210","沈阳银川",44,"CZ6663/4","320",2
"211","厦门杭州",45,"MF8125/6","738",2
"212","厦门杭州",45,"MF8145/6","738",2
"213","杭州厦门",45,"MF8309/10","738",2
"214","杭州厦门",45,"MF8375/6","738",2
"215","厦门杭州",45,"MF8525/6","738",2
"216","杭州厦门",45,"MU2369/70","733",2
"217","厦门杭州",45,"MU2667/8","73G",2
"218","杭州厦门",45,"SC4683/4","737",2
"219","厦门杭州",45,"SC4885/6","737",8
"220","厦门杭州",45,"SC4885/6","738",2
"221","厦门杭州",45,"SC4973","738",1
"222","厦门杭州",45,"SC4973/4","737",8
"223","杭州厦门",45,"SC4974","738",1
"224","临沧昆明",46,"MU5961/2","733",2
"225","临沧昆明",46,"MU5963/4","73G",2
"226","重庆西宁",47,"3U8821","320",2
"227","西宁重庆",47,"3U8822","320",2
"228","成都银川",48,"3U8855/6","320",2
"229","银川成都",48,"CA4231/2","319",2
"230","长沙深圳",49,"CZ3389/90","320",2
"231","长沙深圳",49,"CZ3743/4","M90",2
"232","长沙深圳",49,"CZ3987/8","321",6
"233","长沙深圳",49,"CZ6889/90","73G",2
"234","深圳长沙",49,"HU7185","738",1
"235","长沙深圳",49,"HU7186","738",1
"236","长沙深圳",49,"ZH9937/8","738",2
"237","深圳长沙",49,"ZH9977","738",2
"238","长沙深圳",49,"ZH9978","738",1
"239","天津兰州",50,"GS6687/8","ERJ",4
"240","海口杭州",54,"CZ6665/6","733",2
"241","海口杭州",54,"GS7521/2","E90",2
"242","杭州海口",54,"GS7567/8","E90",2
"243","海口杭州",54,"HU7053","738",1
"244","杭州海口",54,"HU7054","738",1
"245","海口杭州",54,"HU7061","733",2
"246","杭州海口",54,"HU7062","733",1
"247","深圳南阳",56,"CZ3919/20","ERJ",4
"248","锡林浩特呼和浩特",58,"CA1399/400","733",2
"249","锡林浩特呼和浩特",58,"GS6427/8","EMB",2
"250","锡林浩特呼和浩特",58,"GS6429/30","EMB",2
"251","锡林浩特呼和浩特",58,"GS6491/2","ERJ",4
"252","锡林浩特呼和浩特",58,"GS6493/4","ERJ",2
"253","锡林浩特呼和浩特",58,"GS6551/2","ERJ",2
"254","锡林浩特呼和浩特",58,"GS7413/4","ERJ",2
"255","呼和浩特锡林浩特",58,"MU3193","ERJ",1
"256","锡林浩特呼和浩特",58,"MU3194","ERJ",1
"257","锡林浩特呼和浩特",58,"MU3407/8","ERJ",2
"258","延安西安",60,"GS7435/6","E90",2
"259","延安西安",60,"JR1501/2","MA6",2
"260","延安西安",60,"JR1509/10","MA6",2
"261","深圳济南",61,"CZ6487/8","320",4
"262","深圳济南",61,"HU7359","738",1
"263","济南深圳",61,"HU7360","738",1
"264","深圳济南",61,"HU7715","738",1
"265","济南深圳",61,"HU7716","738",1
"266","深圳济南",61,"SC1181/2","733",2
"267","深圳济南",61,"SC1187/8","733",2
"268","深圳济南",61,"SC1189/90","733",4
"269","深圳济南",61,"ZH9927","738",1
"270","济南深圳",61,"ZH9928","738",1
"271","深圳济南",61,"ZH9939","738",1
"272","济南深圳",61,"ZH9940","738",1
"273","天津桂林",64,"BK2819/20","738",2
"274","杭州青岛",67,"CA1787/8","319",2
"275","杭州青岛",67,"CZ3265/6","738",2
"276","青岛杭州",67,"CZ6527/8","319",4
"277","青岛杭州",67,"CZ6709/10","319",4
"278","杭州青岛",67,"MF8525/6","738",2
"279","杭州青岛",67,"MU5271","320",1
"280","青岛杭州",67,"MU5272","320",1
"281","青岛杭州",67,"SC4683/4","737",2
"282","青岛杭州",67,"SC4689/90","737",2
"283","青岛杭州",67,"SC4773/4","737",6
"284","青岛杭州",67,"SC4775/6","737",4
"285","西宁成都",69,"3U8519/20","319",2
"286","西宁成都",69,"3U8987/8","320",4
"287","成都西宁",69,"CA4205","320",1
"288","西宁成都",69,"CA4206","319",1
"289","西宁成都",69,"CA4211/2","319",2
"290","西宁成都",69,"TV9817/8","319",2
"291","深圳洛阳",70,"CZ6511/2","320",4
"292","西安南昌",71,"HU7649","738",1
"293","南昌西安",71,"HU7650","738",1
"294","南昌西安",71,"MF8207/8","752",2
"295","西安南昌",71,"MU2281","320",1
"296","南昌西安",71,"MU2282","320",1
"297","南昌西安",71,"MU5583","320",1
"298","西安南昌",71,"MU5584","320",1
"299","南昌西安",71,"SC4781/2","733",2
"300","黄山厦门",73,"JD5287/8","319",4
"301","成都济宁",79,"EU2709/10","319",4
"302","成都北海",203,"EU2715/6","319",4
"303","重庆北海",259,"EU2717/8","319",4
"304","重庆长春",363,"3U8863/4","320",2
"305","长春重庆",363,"CZ6459/60","320",2
"306","大连长春",413,"CZ3677/8","320",2
"307","大连长春",413,"CZ6651/2","73G",2
"308","大连长春",413,"MU2771","320",4
"309","长春大连",413,"MU2772","320",3
"310","大连长春",413,"ZH9887/8","738",2
"311","成都大连",498,"3U8811/2","321",2
"312","成都大连",498,"3U8813/4","319",4
"313","大连成都",498,"CZ6433/4","319",2
"314","大连成都",498,"CZ6435/6","319",4
"315","成都大连",498,"EU2727/8","320",2
"316","成都大连",498,"EU2757/8","320",2
"317","广州长沙",546,"CZ3165/6","ERJ",2
"318","长沙广州",546,"CZ3375/6","320",2
"319","长沙广州",546,"CZ3379","320",1
"320","广州长沙",546,"CZ3380","320",1
"321","长沙广州",546,"CZ3387/8","320",4
"322","广州长沙",546,"ZH9683/4","320",2
"323","北海海口",550,"MU3149","ERJ",1
"324","海口北海",550,"MU3150","ERJ",1
"325","贵阳长沙",651,"CZ3655/6","73G",2
"326","贵阳长沙",651,"CZ3781/2","73G",2
"327","贵阳长沙",651,"CZ3791/2","73G",2
"328","长沙贵阳",651,"MF8465/6","738",2
"329","长沙贵阳",651,"MU2965","320",2
"330","长沙贵阳",651,"MU2965/6","320",2
"331","贵阳长沙",651,"MU2966","320",1
"332","长沙贵阳",651,"ZH7021/2","320",2
"333","长沙海口",687,"BK2855/6","738",2
"334","长沙海口",687,"CZ3371/2","320",4
"335","长沙海口",687,"EU2726/5","319",2
"336","长沙海口",687,"GS7561/2","E90",4
"337","海口长沙",687,"HU7035","733",1
"338","长沙海口",687,"HU7036","733",1
"339","长沙海口",687,"HU7036","738",1
"340","海口长沙",687,"HU7105/6","737",2
"341","海口长沙",687,"HU7227","738",2
"342","长沙海口",687,"HU7228","738",1
"343","海口长沙",687,"HU7259","733",1
"344","海口长沙",687,"HU7259/60","733",2
"345","长沙海口",687,"HU7260","733",1
"346","长沙海口",687,"HU7333","738",2
"347","长沙海口",687,"HU7333/4","737",4
"348","海口长沙",687,"HU7334","734",1
"349","海口长沙",687,"HU7334","738",1
