,city1_2,flag,flight,flight__num,plane
1,南京哈尔滨,2,3U8839/40,2,320
2,南京哈尔滨,2,MF8067/8,2,738
3,南京哈尔滨,2,MU2701,1,320
4,哈尔滨南京,2,MU2702,1,320
5,南京哈尔滨,2,ZH9817,1,738
6,哈尔滨南京,2,ZH9818,1,738
7,大连西安,3,CZ6423/4,6,319
8,大连西安,3,CZ6433/4,2,319
9,西安大连,3,GS7401/2,2,E90
10,大连西安,3,HU7687,1,738
11,西安大连,3,HU7688,1,738
12,西安大连,3,MU2297,1,320
13,大连西安,3,MU2298,1,320
14,西安大连,3,ZH9383,1,320
15,大连西安,3,ZH9384,1,320
16,义乌广州,6,CZ3309/10,2,733
17,义乌广州,6,CZ3727/8,2,733
18,义乌广州,6,CZ3795/6,2,733
19,义乌广州,6,CZ3883/4,2,733
20,义乌广州,6,CZ3885/6,2,733
21,广州福州,7,CZ3505/6,2,319
22,广州福州,7,CZ3647/8,2,319
23,广州福州,7,CZ3649/50,4,319
24,广州福州,7,CZ3689/90,2,319
25,广州福州,7,CZ3877/8,2,319
26,广州福州,7,HU7373/4,4,738
27,福州广州,7,MF8325,1,752
28,广州福州,7,MF8326,1,752
29,广州福州,7,MF8329/30,2,738
30,广州福州,7,MF8347/8,2,738
31,西安沈阳,8,9C8951/2,2,320
32,沈阳西安,8,CZ6401/2,2,M90
33,沈阳西安,8,CZ6469/70,2,319
34,西安沈阳,8,CZ6515/6,4,320
35,西安沈阳,8,HU7875,2,738
36,沈阳西安,8,HU7876,3,738
37,西安沈阳,8,MU5729/30,2,73G
38,沈阳西安,8,ZH9447/8,2,320
39,沈阳西安,8,ZH9449,1,320
40,西安沈阳,8,ZH9450,1,320
41,重庆兰州,9,HU7073,2,738
42,兰州重庆,9,HU7074,2,733
43,重庆兰州,9,SC4811/2,2,738
44,杭州郑州,10,3U8953/4,2,320
45,郑州杭州,10,CZ3745/6,4,733
46,郑州杭州,10,CZ3839/40,2,733
47,郑州杭州,10,CZ3939/40,2,738
48,郑州杭州,10,CZ3981,1,738
49,杭州郑州,10,CZ3982,2,738
50,郑州杭州,10,CZ6565/6,2,733
51,郑州杭州,10,MF8361/2,2,738
52,杭州郑州,10,MF8369/70,4,73G
53,郑州杭州,10,MU5379/80,4,320
54,郑州杭州,10,VD8309/10,2,E90
55,昆明贵阳,11,3U8941/2,2,320
56,昆明贵阳,11,8L9983,2,73G
57,贵阳昆明,11,8L9984,2,73G
58,贵阳昆明,11,CA1751,1,319
59,昆明贵阳,11,CA1754,1,320
60,贵阳昆明,11,CZ3423/4,2,73G
61,贵阳昆明,11,CZ3665/6,2,73G
62,昆明贵阳,11,KY8011/2,2,73G
63,昆明贵阳,11,KY8087/8,2,737
64,昆明贵阳,11,MU2577,1,CR2
65,贵阳昆明,11,MU2578,1,CR2
66,长沙三亚,12,BK2887,1,738
67,三亚长沙,12,BK2888,1,738
68,长沙三亚,12,CZ3643/4,2,320
69,长沙三亚,12,CZ6719/20,2,320
70,三亚长沙,12,HU7023,1,738
71,长沙三亚,12,HU7023/4,4,737
72,长沙三亚,12,HU7024,1,738
73,长沙三亚,12,JD5179/80,2,319
74,长沙三亚,12,MU2275,1,73G
75,三亚长沙,12,MU2276,2,73G
76,长沙三亚,12,ZH9157/8,2,320
77,烟台成都,13,SC4743/4,2,73G
78,贵阳成都,14,3U8611/2,2,321
79,成都贵阳,14,3U8639/40,2,319
80,贵阳成都,14,3U8675/6,2,ERJ
81,贵阳成都,14,CA4435/6,2,733
82,贵阳成都,14,CZ3671/2,2,738
83,贵阳成都,14,CZ3693/4,2,73G
84,贵阳成都,14,CZ3767/8,2,73G
85,成都贵阳,14,EU2731/2,4,319
86,贵阳成都,14,G52613/4,2,CR2
87,烟台广州,15,SC4897/8,2,733
88,烟台杭州,16,SC4813,1,CR2
89,杭州烟台,16,SC4814,1,CR2
90,杭州烟台,16,SC4885/6,10,737
91,三亚合肥,18,HU7659,1,738
92,三亚合肥,18,HU7659/60,4,737
93,合肥三亚,18,HU7660,1,738
94,三亚合肥,18,MU5643/4,4,320
95,重庆济南,19,3U8929/30,4,319
96,重庆济南,19,HU7349/50,2,737
97,济南重庆,19,MU5471,2,319
98,重庆济南,19,MU5472,2,319
99,重庆济南,19,PN6711/2,2,319
100,重庆济南,19,SC1193/4,2,733
101,重庆济南,19,SC1199/1200,4,733
102,重庆济南,19,SC4761/2,2,CR2
103,济南重庆,19,SC4943/4,4,738
104,长春南京,20,CZ6545/6,2,319
105,南京长春,20,MU2771,4,320
106,长春南京,20,MU2772,3,320
107,南京长春,20,MU2871/2,2,ERJ
108,南京长春,20,ZH9857,1,738
109,长春南京,20,ZH9858,1,738
110,重庆南京,22,3U8763/4,4,319
111,重庆南京,22,3U8839/40,2,320
112,重庆南京,22,3U8921/2,2,320
113,重庆南京,22,8L9913/4,2,737
114,重庆南京,22,CA4545/6,2,73G
115,重庆南京,22,CA4557/8,2,737
116,重庆南京,22,CZ3427/8,2,320
117,南京重庆,22,MU2835,1,320
118,重庆南京,22,MU2836,1,320
119,南京重庆,22,MU2845,1,320
120,重庆南京,22,MU2846,1,320
121,重庆南京,22,MU2855/6,2,320
122,重庆南京,22,OQ2319/20,4,319
123,重庆南京,22,OQ2385/6,6,320
124,重庆南京,22,PN6201/2,2,319
125,重庆南京,22,PN6307/8,2,737
126,南京重庆,22,SC4883/4,2,738
127,宁波长沙,23,GS6503/4,4,EMB
128,宁波长沙,23,HU7355/6,2,734
129,宁波长沙,23,HU7357,1,738
130,长沙宁波,23,HU7358,1,733
131,长沙宁波,23,MF8515/6,2,738
132,长沙宁波,23,MF8583/4,2,738
133,宁波长沙,23,MU2395/6,2,320
134,长沙宁波,23,MU5249/50,2,320
135,宁波长沙,23,NS3245/6,2,320
136,重庆石家庄,24,9C8993/4,2,320
137,重庆石家庄,24,MU5793,1,73G
138,石家庄重庆,24,MU5794,3,73G
139,石家庄重庆,24,NS3241/2,2,320
140,重庆石家庄,24,ZH9161/2,2,320
141,广州舟山,25,ZH9659,1,320
142,舟山广州,25,ZH9660,1,320
143,南宁合肥,26,GS6525/6,2,E90
144,南宁合肥,26,KY8031/2,2,737
145,青岛银川,27,SC4721,1,733
146,银川青岛,27,SC4722,1,733
147,太原合肥,29,HU7863,1,738
148,合肥太原,29,HU7864,2,738
149,昆明重庆,30,3U8721,1,ERJ
150,重庆昆明,30,3U8722,1,ERJ
151,昆明重庆,30,3U8967/8,2,ERJ
152,昆明重庆,30,8L9913/4,2,737
153,昆明重庆,30,8L9919/20,2,737
154,重庆昆明,30,CZ6403/4,4,321
155,重庆昆明,30,CZ6425/6,4,321
156,重庆昆明,30,CZ6459/60,2,320
157,重庆昆明,30,CZ6949/50,2,73G
158,昆明重庆,30,KY8027/8,4,737
159,重庆昆明,30,KY8053/4,4,73G
160,重庆昆明,30,MU2975/6,2,320
161,重庆昆明,30,MU2985/6,2,320
162,昆明重庆,30,MU5721,1,73G
163,重庆昆明,30,MU5722,1,73G
164,昆明重庆,30,MU5769,1,320
165,重庆昆明,30,MU5770,1,320
166,昆明重庆,30,MU5793,1,73G
167,重庆昆明,30,MU5794,3,73G
168,昆明重庆,30,MU5829,1,73G
169,重庆昆明,30,MU5830,1,73G
170,昆明重庆,30,MU5889/90,2,73G
171,重庆昆明,30,OQ2327,1,320
172,昆明重庆,30,OQ2328,1,320
173,重庆昆明,30,PN6105/6,2,319
174,乌鲁木齐青岛,31,CZ6933/4,4,73G
175,乌鲁木齐青岛,31,CZ6961/2,2,73G
176,青岛乌鲁木齐,31,SC4611/2,8,738
177,青岛乌鲁木齐,31,SC4633/4,2,733
178,南阳广州,32,CZ3221/2,2,ERJ
179,南阳广州,32,CZ3383/4,2,ERJ
180,杭州大连,33,3U8663/4,2,320
181,杭州大连,33,3U8943/4,2,320
182,杭州大连,33,CA1765/6,2,319
183,大连杭州,33,CZ6327/8,4,321
184,大连杭州,33,CZ6527/8,4,319
185,大连杭州,33,CZ6709/10,4,319
186,杭州大连,33,MF8025/6,2,738
187,杭州大连,33,MU2399/400,2,320
188,重庆武汉,34,3U8795/6,4,ERJ
189,重庆武汉,34,CZ3437/8,2,738
190,重庆武汉,34,CZ3445/6,2,73G
191,武汉重庆,34,MF8483/4,2,738
192,武汉重庆,34,MU2919/20,2,EMB
193,重庆武汉,34,OQ2385/6,4,320
194,重庆武汉,34,OQ2389/90,2,320
195,重庆武汉,34,PN6301/2,2,319
196,武汉重庆,34,SC4639/40,2,733
197,郑州北海,39,CZ6347/8,2,738
198,长沙温州,40,CA4577/8,2,752
199,长沙温州,40,CZ6955/6,4,73G
200,长沙温州,40,EU2227/8,6,319
201,福州沈阳,41,MF8029/30,2,738
202,福州沈阳,41,MF8061/2,2,738
203,鄂尔多斯哈尔滨,42,MU5837/8,2,737
204,沈阳银川,44,CZ6663/4,4,320
205,厦门杭州,45,MF8125/6,2,738
206,厦门杭州,45,MF8145/6,2,738
207,杭州厦门,45,MF8309/10,2,738
208,杭州厦门,45,MF8375/6,2,738
