"","city1_2","flight_num","plane_num","flag"
"1","阿克苏乌鲁木齐","GS6555/6","ERJ",23572
"2","阿克苏乌鲁木齐","CZ6865/6","73G",23572
"3","阿克苏乌鲁木齐","GS6587/8","E90",23572
"4","阿克苏乌鲁木齐","GS7495/6","ERJ",23572
"5","阿克苏乌鲁木齐","GS7588","ERJ",23572
"6","阿克苏乌鲁木齐","GS6569/70","E90",23572
"7","阿克苏乌鲁木齐","CZ6861/2","73G",23572
"8","阿克苏乌鲁木齐","GS7485/6","ERJ",23572
"9","阿克苏乌鲁木齐","CZ6871/2","73G",23572
"10","阿克苏乌鲁木齐","CZ6863/4","73G",23572
"11","阿克苏乌鲁木齐","CZ6863/4","73G",23572
"12","阿勒泰乌鲁木齐","GS7555/6","ERJ",18896
"13","阿勒泰乌鲁木齐","CZ6851/2","73G",18896
"14","阿勒泰乌鲁木齐","CZ6853/4","73G",18896
"15","阿勒泰乌鲁木齐","GS7479/80","ERJ",18896
"16","阿勒泰乌鲁木齐","GS7539/40","E90",18896
"17","阿勒泰乌鲁木齐","CZ6843/4","73G",18896
"18","阿勒泰乌鲁木齐","CZ6876","73G",18896
"19","阿勒泰乌鲁木齐","CZ6841/2","AT7",18896
"20","阿勒泰乌鲁木齐","CZ6849/50","73G",18896
"21","阿勒泰乌鲁木齐","GS7487/8","E90",18896
"22","阿勒泰乌鲁木齐","GS7503/4","ERJ",18896
"23","阿勒泰伊宁","CZ6873","73G",18897
"24","阿勒泰伊宁","CZ6873","73G",18897
"25","阿勒泰伊宁","GS7493/4","E90",18897
"26","阿勒泰伊宁","GS7493/4","E90",18897
"27","安康西安","GS7539/40","DON",6691
"28","安庆广州","CZ3585/6","ERJ",8965
"29","安顺广州","JD5621/2","319",6633
"30","白山长春","CZ6155/6","321",18947
"31","白山长春","CZ6558","321",18947
"32","白山长春","CZ6155/6","321",18947
"33","百色广州","VD8368","E90",17232
"34","百色广州","VD8368","E90",17232
"35","百色桂林","MU5881/2","73G",21338
"36","百色桂林","VD8373/4","E90",21338
"37","百色桂林","MU5881/2","73G",21338
"38","百色重庆","G52720","CR2",17236
"39","包头大连","CZ6979/80","319",8115
"40","包头广州","ZH9757/8","320",6586
"41","包头广州","ZH7052","320",6586
"42","包头广州","ZH9757/8","320",6586
"43","包头广州","ZH7052","320",6586
"44","包头广州","ZH9757/8","320",6586
"45","包头广州","ZH9757/8","320",6586
"46","包头昆明","CZ6459/60","319",9586
"47","包头昆明","CZ6459/60","319",9586
"48","包头昆明","CZ6459/60","319",9586
"49","包头昆明","CZ6459/60","319",9586
"50","包头南京","MU2710","320",9829
"51","包头南宁","GS6531/2","E90",19307
"52","包头南宁","GS6531/2","E90",19307
"53","包头南宁","GS6531/2","E90",19307
"54","包头南宁","GS6531/2","E90",19307
"55","包头石家庄","ZH9819/20","737",21688
"56","包头天津","BK2837/8","738",8759
"57","包头天津","BK2837/8","738",8759
"58","包头天津","BK2837/8","738",8759
"59","包头天津","BK2837/8","738",8759
"60","包头西安","GS6531/2","E90",11651
"61","包头西安","GS6531/2","E90",11651
"62","包头西安","GS6531/2","E90",11651
"63","包头西安","GS6531/2","E90",11651
"64","包头银川","JR1513/4","MA6",6962
"65","包头郑州","MU2710","320",9247
"66","保山广州","CZ3478","319",19349
"67","保山昆明","MU5965/6","73G",18925
"68","保山昆明","CZ3478","319",18925
"69","保山昆明","MU5967/8","73G",18925
"70","北海成都","EU2715/6","319",203
"71","北海成都","EU2715/6","319",203
"72","北海广州","CZ3354","319",9283
"73","北海桂林","VD8375/6","E90",17215
"74","北海桂林","G52647/8","CR2",17215
"75","北海桂林","G52647/8","CR2",17215
"76","北海桂林","MU5886","CR2",17215
"77","北海桂林","CZ6935/6","733",17215
"78","北海海口","MU3149","ERJ",550
"79","北海杭州","CA1771/2","319",17226
"80","北海昆明","EU2721/2","319",19334
"81","北海三亚","MU5887/8","CR2",19342
"82","北海三亚","EU2719/20","319",19342
"83","北海深圳","ZH9925/6","738",7608
"84","北海深圳","ZH9925/6","738",7608
"85","北海深圳","ZH9925/6","738",7608
"86","北海深圳","ZH9926","738",7608
"87","北海武汉","MU3150","ERJ",3662
"88","北海武汉","CZ3683/4","738",3662
"89","北海长沙","CZ3147","320",4466
"90","北海重庆","EU2717/8","319",259
"91","北海重庆","EU2717/8","319",259
"92","博乐乌鲁木齐","CZ6687/8","AT7",18923
"93","布尔津乌鲁木齐","CZ6613/4","73G",21537
"94","布尔津乌鲁木齐","CZ6621/2","73G",21537
"95","布尔津乌鲁木齐","CZ6619/20","73G",21537
"96","布尔津乌鲁木齐","CZ6617/8","73G",21537
"97","布尔津乌鲁木齐","CZ6878","73G",21537
"98","布尔津乌鲁木齐","CZ6611/2","73G",21537
"99","昌都成都","CA4408","319",19348
"100","昌都成都","CA4408","319",19348
"101","昌都成都","CA4410","319",19348
"102","昌都拉萨","CA4409","319",21356
"103","昌都拉萨","CA4409","319",21356
"104","常德广州","CZ3229/30","ERJ",6588
"105","常德昆明","9C8829","320",17243
"106","常德昆明","9C8829/30","320",17243
"107","常德昆明","9C8829/30","320",17243
