city1_2	flag
邦达成都	197
成都邦达	197
北海成都	203
成都北海	203
北京常州	208
常州北京	208
北海重庆	259
重庆北海	259
北京大连	328
大连北京	328
长春重庆	363
重庆长春	363
北京东营	379
东营北京	379
北京敦煌	381
敦煌北京	381
长春大连	413
大连长春	413
北京赣州	424
赣州北京	424
北京广元	432
广元北京	432
成都大连	498
大连成都	498
长沙广州	546
广州长沙	546
北海海口	550
海口北海	550
北京海口	578
海口北京	578
长沙贵阳	651
贵阳长沙	651
长沙海口	687
海口长沙	687
长春杭州	703
杭州长春	703
北京佳木斯	761
佳木斯北京	761
北京嘉峪关	763
嘉峪关北京	763
北京吉林	766
吉林北京	766
北京济南	774
济南北京	774
赣州广州	798
广州赣州	798
广元广州	806
广州广元	806
北京晋江	817
晋江北京	817
北京锦州	836
锦州北京	836
福州贵阳	868
贵阳福州	868
长沙济南	877
济南长沙	877
北京兰州	894
兰州北京	894
长春昆明	910
昆明长春	910
成都呼和浩特	911
呼和浩特成都	911
长沙晋江	918
晋江长沙	918
广州贵阳	921
贵阳广州	921
大连哈尔滨	934
哈尔滨大连	934
福州杭州	951
杭州福州	951
北海南京	959
南京北海	959
成都晋江	974
晋江成都	974
大连吉林	1028
吉林大连	1028
重庆晋江	1029
晋江重庆	1029
福州黄山	1049
黄山福州	1049
北京宁波	1089
宁波北京	1089
福州济南	1094
济南福州	1094
长沙南京	1104
南京长沙	1104
安庆上海	1119
上海安庆	1119
广州吉林	1137
吉林广州	1137
贵阳哈尔滨	1142
哈尔滨贵阳	1142
长沙南宁	1146
南宁长沙	1146
重庆南昌	1187
南昌重庆	1187
广州晋江	1189
晋江广州	1189
长沙青岛	1204
青岛长沙	1204
海口合肥	1210
合肥海口	1210
广州昆明	1219
昆明广州	1219
贵阳济南	1245
济南贵阳	1245
大连南京	1269
南京大连	1269
海口吉林	1270
吉林海口	1270
长沙上海	1284
上海长沙	1284
广州连云港	1301
连云港广州	1301
长春揭阳潮汕	1310
揭阳潮汕长春	1310
大连南宁	1311
南宁大连	1311
广州泸州	1332
泸州广州	1332
海口昆明	1353
昆明海口	1353
杭州晋江	1365
晋江杭州	1365
重庆三亚	1366
三亚重庆	1366
长沙沈阳	1376
沈阳长沙	1376
长春深圳	1383
