"","flight","plane","city1","city2","city3","city4","city5"
"1","JD5117","319","北京首都","包头",NA,NA,NA
"2","JD5118","319","包头","北京首都",NA,NA,NA
"3","JD5183","319","沈阳","呼和浩特",NA,NA,NA
"4","JD5184","319","呼和浩特","沈阳",NA,NA,NA
"5","JD5275","319","南京","石家庄","呼和浩特",NA,NA
"6","JD5276","319","呼和浩特","石家庄","南京",NA,NA
"7","JD5339","319","厦门","武汉","呼和浩特",NA,NA
"8","JD5340","319","呼和浩特","武汉","厦门",NA,NA
"9","JD5357","319","北京首都","二连浩特",NA,NA,NA
"10","JD5358","319","二连浩特","北京首都",NA,NA,NA
"11","JD5367","319","海口","宜昌","呼和浩特",NA,NA
"12","JD5368","319","呼和浩特","宜昌","海口",NA,NA
"13","JD5397/8","319","三亚","郑州","呼和浩特","郑州","三亚"
"14","JD5399","319","包头","郑州","三亚",NA,NA
"15","JD5400","319","三亚","郑州","包头",NA,NA
"16","JD5400","319","三亚","郑州","包头",NA,NA
"17","JD5563","319","北京首都","满洲里",NA,NA,NA
"18","JD5564","319","满洲里","北京首都",NA,NA,NA
"19","JD5601","319","呼和浩特","南昌","海口",NA,NA
"20","JD5601","319","呼和浩特","南昌","海口",NA,NA
"21","JD5602","319","海口","南昌","呼和浩特",NA,NA
"22","JD5625","319","北京首都","海拉尔",NA,NA,NA
"23","JD5626","319","海拉尔","北京首都",NA,NA,NA
"24","JD5633","319","杭州","郑州","呼和浩特",NA,NA
"25","JD5633","319","杭州","郑州","呼和浩特",NA,NA
"26","JD5634","319","呼和浩特","郑州","杭州",NA,NA
"27","JD5634","319","呼和浩特","郑州","杭州",NA,NA
"28","JD5634","319","呼和浩特","郑州","杭州",NA,NA
"29","JD5643","319","桂林","郑州","呼和浩特",NA,NA
"30","JD5644","319","呼和浩特","郑州","桂林",NA,NA
"31","JD5739","319","丽江","天津",NA,NA,NA
"32","JD5740","319","天津","丽江",NA,NA,NA
"33","9C8501","320","石家庄","珠海",NA,NA,NA
"34","9C8502","320","珠海","石家庄",NA,NA,NA
"35","9C8547","320","石家庄","昆明",NA,NA,NA
"36","9C8548","320","昆明","石家庄",NA,NA,NA
"37","9C8555","320","石家庄","杭州",NA,NA,NA
"38","9C8556","320","杭州","石家庄",NA,NA,NA
"39","9C8603","320","石家庄","绵阳",NA,NA,NA
"40","9C8604","320","绵阳","石家庄",NA,NA,NA
