"","city1_2","flag","flight","flight_num","plane"
"1","哈尔滨南京",2,"3U",1,"321"
"2","哈尔滨南京",2,"AQ",1,"738"
"3","哈尔滨南京",2,"CZ",1,"738"
"4","哈尔滨南京",2,"HO",1,"320"
"5","哈尔滨南京",2,"HU",2,"738"
"6","哈尔滨南京",2,"MF",1,"738"
"7","南京哈尔滨",2,"MU",1,"320"
"8","哈尔滨南京",2,"MU",1,"320"
"9","哈尔滨南京",2,"ZH",1,"320"
"10","大连西安",3,"CA",2,"738"
"11","大连西安",3,"CZ",1,"319"
"12","大连西安",3,"CZ",1,"319"
"13","大连西安",3,"GS",1,"E90"
"14","西安大连",3,"GS",1,"320"
"15","大连西安",3,"GS",2,"320"
"16","西安大连",3,"JD",2,"319"
"17","大连西安",3,"JD",2,"319"
"18","西安大连",3,"MU",1,"320"
"19","大连西安",3,"MU",1,"320"
"20","湛江长沙",4,"BK",2,"737"
"21","广州义乌",6,"CZ",1,"738"
"22","义乌广州",6,"CZ",1,"738"
"23","广州义乌",6,"CZ",1,"738"
"24","义乌广州",6,"CZ",1,"738"
"25","广州义乌",6,"CZ",1,"738"
"26","义乌广州",6,"CZ",1,"738"
"27","广州义乌",6,"CZ",1,"738"
"28","义乌广州",6,"CZ",1,"738"
"29","义乌广州",6,"CZ",1,"738"
"30","广州义乌",6,"CZ",1,"738"
"31","广州福州",7,"CZ",1,"319"
"32","福州广州",7,"CZ",1,"319"
"33","广州福州",7,"CZ",1,"319"
"34","福州广州",7,"CZ",1,"319"
"35","广州福州",7,"CZ",1,"319"
"36","福州广州",7,"CZ",2,"319"
"37","广州福州",7,"CZ",1,"319"
"38","福州广州",7,"CZ",1,"319"
"39","福州广州",7,"MF",1,"738"
"40","广州福州",7,"MF",1,"738"
"41","福州广州",7,"MF",1,"738"
"42","广州福州",7,"MF",1,"738"
"43","福州广州",7,"MF",1,"738"
"44","广州福州",7,"MF",1,"738"
"45","沈阳西安",8,"9C",1,"320"
"46","西安沈阳",8,"9C",1,"320"
"47","沈阳西安",8,"CZ",1,"319"
"48","沈阳西安",8,"CZ",1,"319"
"49","西安沈阳",8,"CZ",1,"319"
"50","沈阳西安",8,"MU",1,"738"
"51","沈阳西安",8,"ZH",1,"320"
"52","兰州重庆",9,"3U",1,"319"
"53","重庆兰州",9,"3U",1,"320"
"54","兰州重庆",9,"3U",1,"320"
"55","兰州重庆",9,"CZ",3,"320"
"56","重庆兰州",9,"G5",2,"CR9"
"57","兰州重庆",9,"HU",1,"738"
"58","重庆兰州",9,"HU",1,"738"
"59","兰州重庆",9,"HU",1,"738"
"60","重庆兰州",9,"HU",1,"738"
"61","重庆兰州",9,"PN",2,"319"
"62","重庆兰州",9,"SC",1,"738"
"63","兰州重庆",9,"SC",1,"738"
"64","杭州郑州",10,"3U",1,"320"
"65","郑州杭州",10,"CZ",1,"738"
"66","杭州郑州",10,"CZ",1,"738"
"67","郑州杭州",10,"CZ",1,"738"
"68","杭州郑州",10,"CZ",1,"738"
"69","杭州郑州",10,"CZ",1,"738"
"70","郑州杭州",10,"DZ",1,"738"
"71","杭州郑州",10,"DZ",1,"738"
"72","郑州杭州",10,"DZ",1,"738"
"73","杭州郑州",10,"DZ",1,"738"
"74","杭州郑州",10,"FM",1,"738"
"75","郑州杭州",10,"FM",1,"738"
"76","杭州郑州",10,"GJ",2,"320"
"77","郑州杭州",10,"GJ",2,"320"
"78","杭州郑州",10,"HU",1,"738"
"79","杭州郑州",10,"HU",1,"738"
"80","杭州郑州",10,"JD",2,"319"
"81","杭州郑州",10,"MF",1,"738"
"82","杭州郑州",10,"MF",1,"737"
"83","杭州郑州",10,"MU",1,"320"
"84","郑州杭州",10,"MU",1,"320"
"85","昆明贵阳",11,"3U",1,"320"
"86","昆明贵阳",11,"CZ",1,"738"
"87","昆明贵阳",11,"CZ",2,"738"
"88","贵阳昆明",11,"G5",1,"cr9"
"89","昆明贵阳",11,"G5",1,"cr9"
"90","昆明贵阳",11,"KY",1,"73G"
"91","昆明贵阳",11,"MU",3,"737"
"92","三亚长沙",12,"3U",1,"320"
"93","长沙三亚",12,"3U",1,"320"
"94","长沙三亚",12,"BK",1,"737"
"95","三亚长沙",12,"BK",1,"737"
"96","长沙三亚",12,"CZ",1,"321"
"97","三亚长沙",12,"CZ",1,"321"
"98","三亚长沙",12,"CZ",2,"319"
"99","三亚长沙",12,"EU",1,"319"
"100","长沙三亚",12,"HU",2,"738"
"101","三亚长沙",12,"HU",2,"738"
"102","三亚长沙",12,"HU",2,"738"
"103","长沙三亚",12,"HU",1,"738"
"104","三亚长沙",12,"JD",1,"319"
"105","长沙三亚",12,"JD",1,"319"
"106","三亚长沙",12,"JD",1,"319"
"107","成都烟台",13,"CA",1,"319"
"108","烟台成都",13,"CA",2,"319"
"109","成都烟台",13,"CZ",1,"319"
"110","成都贵阳",14,"3U",1,"319"
"111","成都贵阳",14,"CA",1,"320"
"112","贵阳成都",14,"CA",1,"320"
"113","成都贵阳",14,"CA",1,"319"
"114","贵阳成都",14,"CA",1,"319"
"115","成都贵阳",14,"CA",1,"321"
"116","贵阳成都",14,"CA",1,"321"
"117","贵阳成都",14,"CZ",1,"738"
"118","成都贵阳",14,"CZ",1,"738"
"119","贵阳成都",14,"CZ",1,"738"
"120","成都贵阳",14,"CZ",2,"738"
"121","成都贵阳",14,"EU",1,"319"
"122","成都贵阳",14,"EU",1,"319"
"123","成都贵阳",14,"QW",1,"320"
"124","贵阳成都",14,"QW",1,"320"
"125","成都贵阳",14,"TV",1,"319"
"126","贵阳成都",14,"TV",1,"319"
"127","广州烟台",15,"CZ",1,"320"
"128","烟台广州",15,"SC",1,"738"
"129","广州烟台",15,"SC",1,"738"
"130","杭州烟台",16,"GJ",1,"320"
"131","杭州烟台",16,"GS",1,"E90"
"132","杭州烟台",16,"HU",1,"734"
"133","杭州烟台",16,"JD",1,"319"
"134","烟台杭州",16,"SC",1,"733"
"135","三亚合肥",18,"HU",2,"738"
"136","三亚合肥",18,"JD",2,"319"
"137","合肥三亚",18,"JD",1,"319"
"138","重庆济南",19,"3U",1,"321"
"139","济南重庆",19,"3U",1,"321"
"140","济南重庆",19,"MU",1,"320"
"141","重庆济南",19,"PN",1,"319"
"142","济南重庆",19,"PN",1,"319"
"143","重庆济南",19,"PN",1,"319"
"144","济南重庆",19,"PN",1,"319"
"145","济南重庆",19,"SC",1,"738"
"146","重庆济南",19,"SC",1,"738"
"147","重庆济南",19,"SC",1,"738"
"148","重庆济南",19,"SC",1,"738"
"149","济南重庆",19,"SC",1,"738"
"150","重庆济南",19,"SC",1,"738"
"151","长春南京",20,"3U",1,"319"
"152","长春南京",20,"CZ",2,"320"
"153","长春南京",20,"CZ",1,"321"
"154","长春南京",20,"DZ",1,"738"
"155","长春南京",20,"MF",3,"73G"
"156","长春南京",20,"MU",1,"320"
"157","长春南京",20,"ZH",1,"738"
