"","city1_2","flight","plane","flag"
"1","阿坝成都","CA4220","319",18903
"2","阿坝成都","CA4218","319",18903
"3","阿尔山乌兰浩特","G52744","CR9",23724
"4","阿克苏成都","CA4244","320",19273
"5","阿克苏乌鲁木齐","CZ6866","E90",23572
"6","阿克苏乌鲁木齐","CZ6868","73G",23572
"7","阿克苏乌鲁木齐","CZ6862","73G",23572
"8","阿克苏乌鲁木齐","HU7354","738",23572
"9","阿克苏乌鲁木齐","CZ6846","E90",23572
"10","阿克苏乌鲁木齐","CZ6870","738",23572
"11","阿克苏乌鲁木齐","CZ6919","73G",23572
"12","阿克苏乌鲁木齐","CZ6846","E90",23572
"13","阿克苏乌鲁木齐","CZ6860","738",23572
"14","阿克苏乌鲁木齐","CZ6860","738",23572
"15","阿克苏乌鲁木齐","CZ6870","738",23572
"16","阿克苏乌鲁木齐","GS7514","E90",23572
"17","阿克苏乌鲁木齐","GS7512","E90",23572
"18","阿克苏乌鲁木齐","GS7518","E90",23572
"19","阿克苏乌鲁木齐","GS7512","E90",23572
"20","阿克苏乌鲁木齐","GS7516","E90",23572
"21","阿克苏西安","SC8816","738",21646
"22","阿克苏重庆","CA4576","738",24255
"23","阿克苏重庆","CA4576","738",24255
"24","阿拉善右旗阿拉善左旗","BK2810","MA6",18911
"25","阿拉善左旗阿拉善右旗","BK2763","MA6",18911
"26","阿拉善左旗阿拉善右旗","BK2809","MA6",18911
"27","阿拉善左旗呼和浩特","BK2783","MA6",18910
"28","阿拉善左旗呼和浩特","BK2841","MA6",18910
"29","阿拉善左旗呼和浩特","BK2878","MA6",18910
"30","阿勒泰乌鲁木齐","CZ6844","E90",18896
"31","阿勒泰乌鲁木齐","GS7556","E90",18896
"32","阿勒泰乌鲁木齐","GS7556","E90",18896
"33","阿勒泰乌鲁木齐","CZ6842","E90",18896
"34","阿勒泰乌鲁木齐","CZ6844","E90",18896
"35","阿勒泰乌鲁木齐","GS7558","E90",18896
"36","阿勒泰乌鲁木齐","CZ6858","73G",18896
"37","阿勒泰乌鲁木齐","CZ6858","73G",18896
"38","阿勒泰乌鲁木齐","CZ6844","E90",18896
"39","阿勒泰乌鲁木齐","CZ6858","73G",18896
"40","阿勒泰乌鲁木齐","CZ6858","73G",18896
"41","阿勒泰乌鲁木齐","CZ6856","E90",18896
"42","阿里喀什","MU2132","320",9074
"43","阿里拉萨","TV9918","319",10094
"44","阿里拉萨","TV9808","319",10094
"45","安庆广州","CZ3586","319",8965
"46","鞍山广州","CZ6564","319",21648
"47","巴彦淖尔呼和浩特","GS6652","EMB",10910
"48","巴彦淖尔呼和浩特","GS6648","EMB",10910
"49","白山大连","9C8908","320",8578
"50","白山哈尔滨","BK2734","MA6",18768
"51","白山沈阳","CZ6315","320",18662
"52","白山天津","HO1136","320",12697
"53","白山天津","9C8690","320",12697
"54","白山延吉","BK3003","MA6",21579
"55","白山长春","BK2753","MA6",18947
"56","白山长春","CZ6155","319",18947
"57","白山长春","CZ6155","319",18947
"58","百色广州","HU7758","737",17232
"59","百色深圳","BK2860","737",19271
"60","百色重庆","MU5494","319",17236
"61","百色重庆","MU5494","319",17236
"62","百色重庆","MU5494","319",17236
"63","包头大连","CA8916","738",8115
"64","包头广州","ZH9758","320",6586
"65","包头杭州","CA1780","319",7392
"66","包头洛阳","CZ6764","320",9302
"67","包头南京","MU2892","320",9829
"68","包头南京","MU2892","320",9829
"69","包头石家庄","HU7156","738",21688
"70","包头石家庄","CZ6648","320",21688
"71","包头石家庄","CZ6648","320",21688
"72","包头石家庄","NS3323","E90",21688
"73","包头太原","SC4904","738",6087
"74","包头天津","SC4644","CR7",8759
"75","包头西安","CZ6586","319",11651
"76","包头西安","GS7614","E90",11651
"77","包头郑州","EU2240","319",9247
"78","包头郑州","CZ3196","738",9247
"79","包头郑州","CZ3196","738",9247
"80","包头郑州","JD5399","319",9247
"81","保山杭州","MU5793","73G",24333
"82","保山杭州","MU5793","73G",24333
"83","保山昆明","MU5966","73G",18925
"84","保山昆明","MU5737","73G",18925
"85","保山昆明","MU5982","73G",18925
"86","保山昆明","MU5966","73G",18925
"87","保山昆明","MU5986","73G",18925
"88","保山昆明","MU5896","73G",18925
