,flight,plane,city1,city2,city3,city4,city5,city1_2
1,CA4375/6,319,呼和浩特,三亚,呼和浩特,NA,NA,呼和浩特三亚
2,JD5117/8,319,北京首都,包头,北京首都,NA,NA,北京首都包头
5,JD5187/8,319,北京首都,包头,北京首都,NA,NA,北京首都包头
6,JD5245/6,319,北京首都,海拉尔,北京首都,NA,NA,北京首都海拉尔
7,JD5267/8,319,呼和浩特,乌鲁木齐,呼和浩特,NA,NA,呼和浩特乌鲁木齐
8,JD5267/8,319,呼和浩特,乌鲁木齐,呼和浩特,NA,NA,呼和浩特乌鲁木齐
9,JD5267/8,319,呼和浩特,乌鲁木齐,呼和浩特,NA,NA,呼和浩特乌鲁木齐
10,JD5267/8,319,呼和浩特,乌鲁木齐,呼和浩特,NA,NA,呼和浩特乌鲁木齐
11,JD5267/8,319,呼和浩特,乌鲁木齐,呼和浩特,NA,NA,呼和浩特乌鲁木齐
12,JD5267/8,319,呼和浩特,乌鲁木齐,呼和浩特,NA,NA,呼和浩特乌鲁木齐
13,JD5285/6,319,北京首都,呼和浩特,北京首都,NA,NA,北京首都呼和浩特
14,JD5289/90,319,北京首都,呼和浩特,北京首都,NA,NA,北京首都呼和浩特
15,JD5289/90,319,北京首都,呼和浩特,北京首都,NA,NA,北京首都呼和浩特
16,JD5291/2,319,北京首都,呼和浩特,北京首都,NA,NA,北京首都呼和浩特
18,9C8873/4,320,石家庄,大连,石家庄,NA,NA,石家庄大连
19,9C8873/4,320,石家庄,大连,石家庄,NA,NA,石家庄大连
20,9C8873/4,320,石家庄,大连,石家庄,NA,NA,石家庄大连
21,9C8893/4,320,石家庄,南京,石家庄,NA,NA,石家庄南京
22,9C8893/4,320,石家庄,南京,石家庄,NA,NA,石家庄南京
23,9C8905/6,320,石家庄,福州,石家庄,NA,NA,石家庄福州
24,9C8975/6,320,石家庄,厦门,石家庄,NA,NA,石家庄厦门
25,9C8975/6,320,石家庄,厦门,石家庄,NA,NA,石家庄厦门
26,9C8993/4,320,石家庄,重庆,石家庄,NA,NA,石家庄重庆
27,NS3207/8,320,石家庄,三亚,石家庄,NA,NA,石家庄三亚
28,NS3209/10,320,石家庄,成都,石家庄,NA,NA,石家庄成都
29,NS3211/2,320,石家庄,杭州,石家庄,NA,NA,石家庄杭州
30,NS3221/2,320,石家庄,海口,石家庄,NA,NA,石家庄海口
31,NS3239/40,320,石家庄,唐山,石家庄,NA,NA,石家庄唐山
34,ZH9145/6,320,太原,昆明,太原,NA,NA,太原昆明
35,ZH9175/6,320,呼和浩特,海拉尔,呼和浩特,NA,NA,呼和浩特海拉尔
36,CA8219,321,武汉,呼和浩特,海拉尔,NA,NA,武汉呼和浩特
37,CA8220,321,海拉尔,呼和浩特,武汉,NA,NA,海拉尔呼和浩特
40,CZ6699/700,321,北京首都,长治,北京首都,NA,NA,北京首都长治
42,CA1101/2,733,北京首都,呼和浩特,北京首都,NA,NA,北京首都呼和浩特
43,CA1109/10,733,北京首都,锡林浩特,北京首都,NA,NA,北京首都锡林浩特
44,CA1119/20,733,北京首都,大同,北京首都,NA,NA,北京首都大同
45,CA1123/4,733,北京首都,通辽,北京首都,NA,NA,北京首都通辽
47,CA1127/8,733,呼和浩特,满洲里,呼和浩特,NA,NA,呼和浩特满洲里
49,CA1131/2,733,北京首都,海拉尔,北京首都,NA,NA,北京首都海拉尔
50,CA1131/2,733,北京首都,海拉尔,北京首都,NA,NA,北京首都海拉尔
51,CA1133/4,733,北京首都,运城,北京首都,NA,NA,北京首都运城
54,CA1137/8,733,北京首都,呼和浩特,北京首都,NA,NA,北京首都呼和浩特
55,CA1137/8,733,北京首都,呼和浩特,北京首都,NA,NA,北京首都呼和浩特
57,CA1139/40,733,北京首都,运城,北京首都,NA,NA,北京首都运城
58,CA1227/8,733,呼和浩特,海拉尔,呼和浩特,NA,NA,呼和浩特海拉尔
59,CA1227/8,733,呼和浩特,海拉尔,呼和浩特,NA,NA,呼和浩特海拉尔
60,CA1239/40,733,呼和浩特,赤峰,呼和浩特,NA,NA,呼和浩特赤峰
61,CA1239/40,733,呼和浩特,赤峰,呼和浩特,NA,NA,呼和浩特赤峰
62,CA1241/2,733,北京首都,满洲里,北京首都,NA,NA,北京首都满洲里
63,CA1241/2,733,北京首都,满洲里,北京首都,NA,NA,北京首都满洲里
64,CA1245/6,733,北京首都,通辽,北京首都,NA,NA,北京首都通辽
65,CA1249/50,733,呼和浩特,通辽,呼和浩特,NA,NA,呼和浩特通辽
66,CA1281/2,733,北京首都,赤峰,北京首都,NA,NA,北京首都赤峰
67,CA1283/4,733,北京首都,乌兰浩特,北京首都,NA,NA,北京首都乌兰浩特
68,CA1299/300,733,呼和浩特,海拉尔,呼和浩特,NA,NA,呼和浩特海拉尔
69,CA1399/400,733,呼和浩特,锡林浩特,呼和浩特,NA,NA,呼和浩特锡林浩特
70,CA1529/30,733,天津,厦门,天津,NA,NA,天津厦门
71,CA1529/30,733,天津,厦门,天津,NA,NA,天津厦门
72,CA1633/4,733,北京首都,海拉尔,北京首都,NA,NA,北京首都海拉尔
73,CA1633/4,733,北京首都,海拉尔,北京首都,NA,NA,北京首都海拉尔
80,CZ6637/8,733,呼和浩特,北京首都,呼和浩特,NA,NA,呼和浩特北京首都
90,BK2825/6,735,天津,杭州,天津,NA,NA,天津杭州
93,CA1125/6,737,北京首都,呼和浩特,北京首都,NA,NA,北京首都呼和浩特
94,HU7667/8,737,太原,北京首都,太原,NA,NA,太原北京首都
95,MU2133/4,737,太原,北京首都,太原,NA,NA,太原北京首都
101,ZH9819/20,737,石家庄,包头,石家庄,NA,NA,石家庄包头
102,BK2801/2,738,天津,威海,天津,NA,NA,天津威海
103,BK2803/4,738,天津,成都,天津,NA,NA,天津成都
104,BK2813/4,738,天津,张家界,天津,NA,NA,天津张家界
105,BK2815/6,738,天津,延吉,天津,NA,NA,天津延吉
106,BK2817/8,738,天津,海拉尔,天津,NA,NA,天津海拉尔
107,BK2819/20,738,天津,桂林,天津,NA,NA,天津桂林
111,BK2832,738,三亚,珠海,天津,NA,NA,三亚珠海
112,BK2833/4,738,天津,哈尔滨,天津,NA,NA,天津哈尔滨
115,BK2837/8,738,天津,包头,天津,NA,NA,天津包头
116,BK2837/8,738,天津,包头,天津,NA,NA,天津包头
117,BK2837/8,738,天津,包头,天津,NA,NA,天津包头
118,BK2837/8,738,天津,包头,天津,NA,NA,天津包头
119,BK2851/2,738,天津,成都,天津,NA,NA,天津成都
121,BK2857,738,天津,南京,泉州,NA,NA,天津南京
