"","city1_2","flight","plane","flag"
"1","阿克苏乌鲁木齐","CZ6863/4","73G",23572
"2","阿克苏乌鲁木齐","CZ6865/6","73G",23572
"3","阿克苏乌鲁木齐","GS6569/70","E90",23572
"4","阿克苏乌鲁木齐","CZ6871/2","73G",23572
"5","阿克苏乌鲁木齐","CZ6863/4","73G",23572
"6","阿克苏乌鲁木齐","CZ6861/2","73G",23572
"7","阿克苏乌鲁木齐","GS7495/6","ERJ",23572
"8","阿克苏乌鲁木齐","GS6587/8","E90",23572
"9","阿克苏乌鲁木齐","GS7485/6","ERJ",23572
"10","阿克苏乌鲁木齐","GS6555/6","ERJ",23572
"11","阿克苏乌鲁木齐","GS7588","ERJ",23572
"12","阿勒泰乌鲁木齐","GS7503/4","ERJ",18896
"13","阿勒泰乌鲁木齐","GS7487/8","E90",18896
"14","阿勒泰乌鲁木齐","CZ6841/2","AT7",18896
"15","阿勒泰乌鲁木齐","CZ6876","73G",18896
"16","阿勒泰乌鲁木齐","CZ6851/2","73G",18896
"17","阿勒泰乌鲁木齐","CZ6843/4","73G",18896
"18","阿勒泰乌鲁木齐","GS7479/80","ERJ",18896
"19","阿勒泰乌鲁木齐","GS7555/6","ERJ",18896
"20","阿勒泰乌鲁木齐","CZ6853/4","73G",18896
"21","阿勒泰乌鲁木齐","GS7539/40","E90",18896
"22","阿勒泰乌鲁木齐","CZ6849/50","73G",18896
"23","阿勒泰伊宁","GS7493/4","E90",18897
"24","阿勒泰伊宁","CZ6873","73G",18897
"25","阿勒泰伊宁","GS7493/4","E90",18897
"26","阿勒泰伊宁","CZ6873","73G",18897
"27","安康西安","GS7539/40","DON",6691
"28","安庆北京首都","GS6574","E90",4303
"29","安庆广州","CZ3585/6","ERJ",8965
"30","安庆上海虹桥","FM9275/6","CR2",1119
"31","安顺广州","JD5621/2","319",6633
"32","鞍山北京首都","CZ6113/4","319",59
"33","鞍山北京首都","CZ6113/4","319",59
"34","鞍山北京首都","CZ6113/4","319",59
"35","白山北京首都","CZ6153/4","319",12571
"36","白山北京首都","CZ6153/4","319",12571
"37","白山上海浦东","CZ6155/6","321",9140
"38","白山上海浦东","CZ6155/6","321",9140
"39","白山长春","CZ6155/6","321",18947
"40","白山长春","CZ6558","321",18947
"41","白山长春","CZ6155/6","321",18947
"42","百色广州","VD8368","E90",17232
"43","百色广州","VD8368","E90",17232
"44","百色桂林","MU5881/2","73G",21338
"45","百色桂林","MU5881/2","73G",21338
"46","百色桂林","VD8373/4","E90",21338
"47","百色重庆","G52720","CR2",17236
"48","包头北京南苑","KN2911/2","738",6705
"49","包头北京南苑","KN2945/6","73G",6705
"50","包头北京首都","CA6005/6","738",6705
"51","包头北京首都","HU7140","738",6705
"52","包头北京首都","CA1122","738",6705
"53","包头北京首都","CA6007/8","738",6705
"54","包头北京首都","CA6007/8","738",6705
"55","包头北京首都","HU7126","738",6705
"56","包头北京首都","JD5117/8","319",6705
"57","包头北京首都","HU7126","738",6705
"58","包头北京首都","CA1253/4","738",6705
"59","包头北京首都","CA6005/6","738",6705
"60","包头北京首都","CA6005/6","738",6705
"61","包头北京首都","CA1121/2","738",6705
"62","包头北京首都","JD5187/8","319",6705
"63","包头北京首都","CA1141/2","738",6705
