"","SQH","SXRQ","firmname"
"1","CN201320534354.5","20151028","中国海诚工程科技股份有限公司"
"2","CN201110206237.1","20150909","宁波新海电气股份有限公司"
"3","CN201110206344.4","20150909","宁波新海电气股份有限公司"
"4","CN201110212972.3","20160921","宁波新海电气股份有限公司"
"5","CN201130157160.4","20130717","宁波新海电气股份有限公司"
"6","CN201130157199.6","20130717","宁波新海电气股份有限公司"
"7","CN201130157200.5","20130717","宁波新海电气股份有限公司"
"8","CN201130157201.X","20130717","宁波新海电气股份有限公司"
"9","CN201130157157.2","20130717","宁波新海电气股份有限公司"
"10","CN201130157196.2","20130717","宁波新海电气股份有限公司"
"11","CN201130157197.7","20130717","宁波新海电气股份有限公司"
"12","CN201130160108.4","20130724","宁波新海电气股份有限公司"
"13","CN201130160073.4","20130724","宁波新海电气股份有限公司"
"14","CN201130160124.3","20130724","宁波新海电气股份有限公司"
"15","CN201130160125.8","20130724","宁波新海电气股份有限公司"
"16","CN201130160127.7","20130724","宁波新海电气股份有限公司"
"17","CN201130160129.6","20130724","宁波新海电气股份有限公司"
"18","CN201130160049.0","20130724","宁波新海电气股份有限公司"
"19","CN201130160076.8","20130724","宁波新海电气股份有限公司"
"20","CN201130160078.7","20130724","宁波新海电气股份有限公司"
"21","CN201130160079.1","20130724","宁波新海电气股份有限公司"
"22","CN201130160086.1","20130724","宁波新海电气股份有限公司"
"23","CN201130160087.6","20130724","宁波新海电气股份有限公司"
"24","CN201130160088.0","20130724","宁波新海电气股份有限公司"
"25","CN201130160090.8","20130724","宁波新海电气股份有限公司"
"26","CN201130160106.5","20130724","宁波新海电气股份有限公司"
"27","CN201130160110.1","20130724","宁波新海电气股份有限公司"
"28","CN201130160121.X","20130724","宁波新海电气股份有限公司"
"29","CN201130160122.4","20130724","宁波新海电气股份有限公司"
"30","CN201130167162.1","20130717","宁波新海电气股份有限公司"
"31","CN201130168517.9","20130717","宁波新海电气股份有限公司"
"32","CN201130168518.3","20130717","宁波新海电气股份有限公司"
"33","CN201130168526.8","20130717","宁波新海电气股份有限公司"
"34","CN201130168528.7","20130717","宁波新海电气股份有限公司"
"35","CN201130168530.4","20130717","宁波新海电气股份有限公司"
"36","CN201130168542.7","20130717","宁波新海电气股份有限公司"
"37","CN201130168576.6","20130717","宁波新海电气股份有限公司"
"38","CN201130167163.6","20130717","宁波新海电气股份有限公司"
"39","CN201130167164.0","20130717","宁波新海电气股份有限公司"
"40","CN201130167165.5","20130717","宁波新海电气股份有限公司"
"41","CN201130167211.1","20130717","宁波新海电气股份有限公司"
"42","CN201130168519.8","20130717","宁波新海电气股份有限公司"
"43","CN201130168520.0","20130717","宁波新海电气股份有限公司"
"44","CN201130168556.9","20130717","宁波新海电气股份有限公司"
"45","CN201130168557.3","20130717","宁波新海电气股份有限公司"
"46","CN201130168558.8","20130717","宁波新海电气股份有限公司"
"47","CN201130168559.2","20130717","宁波新海电气股份有限公司"
"48","CN201130168560.5","20130717","宁波新海电气股份有限公司"
"49","CN201130164628.2","20130717","宁波新海电气股份有限公司"
"50","CN201130164630.X","20130717","宁波新海电气股份有限公司"
"51","CN201130164642.2","20130717","宁波新海电气股份有限公司"
"52","CN201130164645.6","20130717","宁波新海电气股份有限公司"
"53","CN201130164653.0","20130717","宁波新海电气股份有限公司"
"54","CN201130164656.4","20130717","宁波新海电气股份有限公司"
"55","CN201130164659.8","20130717","宁波新海电气股份有限公司"
"56","CN201130164662.X","20130717","宁波新海电气股份有限公司"
"57","CN201130164666.8","20130717","宁波新海电气股份有限公司"
"58","CN201130164668.7","20130717","宁波新海电气股份有限公司"
"59","CN201130164670.4","20130717","宁波新海电气股份有限公司"
"60","CN201130164671.9","20130717","宁波新海电气股份有限公司"
"61","CN201130164673.8","20130717","宁波新海电气股份有限公司"
"62","CN201130164675.7","20130717","宁波新海电气股份有限公司"
"63","CN201130164682.7","20130717","宁波新海电气股份有限公司"
"64","CN201130164684.6","20130717","宁波新海电气股份有限公司"
"65","CN201130164689.9","20130717","宁波新海电气股份有限公司"
"66","CN201130164696.9","20130717","宁波新海电气股份有限公司"
"67","CN201130164701.6","20130717","宁波新海电气股份有限公司"
"68","CN201130164706.9","20130717","宁波新海电气股份有限公司"
