,SQH,SXRQ
1,CN201220107320.3,20160511
2,CN201120360397.7,20130320
3,CN201120360399.6,20120926
4,CN201220649957.5,20151209
5,CN201320873605.2,20160120
6,CN201220649950.3,20151216
7,CN201320827023.0,20160302
8,CN201320873612.2,20160316
9,CN201220685146.0,20150121
10,CN201320278856.6,20160525
11,CN201520312125.8,20161012
12,CN201120245631.1,20130313
13,CN201030257663.4,20160928
14,CN201220548876.6,20141112
15,CN201020685347.1,20130710
16,CN201320352456.5,20160106
17,CN201420369394.3,20160420
18,CN201220222888.X,20160330
19,CN201020685349.0,20160210
20,CN201020599184.5,20151223
21,CN201020599193.4,20151223
22,CN201320448381.0,20160810
23,CN201320745891.4,20160817
24,CN201320749412.6,20160817
25,CN201320534354.5,20151028
26,CN201110206237.1,20150909
27,CN201110206344.4,20150909
28,CN201110212972.3,20160921
29,CN201130157160.4,20130717
30,CN201130157199.6,20130717
31,CN201130157200.5,20130717
32,CN201130157201.X,20130717
33,CN201130157157.2,20130717
34,CN201130157196.2,20130717
35,CN201130157197.7,20130717
36,CN201130160108.4,20130724
37,CN201130160073.4,20130724
38,CN201130160124.3,20130724
39,CN201130160125.8,20130724
40,CN201130160127.7,20130724
41,CN201130160129.6,20130724
42,CN201130160049.0,20130724
43,CN201130160076.8,20130724
44,CN201130160078.7,20130724
45,CN201130160079.1,20130724
46,CN201130160086.1,20130724
47,CN201130160087.6,20130724
48,CN201130160088.0,20130724
49,CN201130160090.8,20130724
50,CN201130160106.5,20130724
51,CN201130160110.1,20130724
52,CN201130160121.X,20130724
53,CN201130160122.4,20130724
54,CN201130167162.1,20130717
55,CN201130168517.9,20130717
56,CN201130168518.3,20130717
57,CN201130168526.8,20130717
58,CN201130168528.7,20130717
59,CN201130168530.4,20130717
60,CN201130168542.7,20130717
61,CN201130168576.6,20130717
62,CN201130167163.6,20130717
63,CN201130167164.0,20130717
64,CN201130167165.5,20130717
65,CN201130167211.1,20130717
66,CN201130168519.8,20130717
67,CN201130168520.0,20130717
68,CN201130168556.9,20130717
69,CN201130168557.3,20130717
70,CN201130168558.8,20130717
71,CN201130168559.2,20130717
72,CN201130168560.5,20130717
73,CN201130164628.2,20130717
74,CN201130164630.X,20130717
75,CN201130164642.2,20130717
76,CN201130164645.6,20130717
77,CN201130164653.0,20130717
78,CN201130164656.4,20130717
79,CN201130164659.8,20130717
80,CN201130164662.X,20130717
81,CN201130164666.8,20130717
82,CN201130164668.7,20130717
83,CN201130164670.4,20130717
84,CN201130164671.9,20130717
85,CN201130164673.8,20130717
86,CN201130164675.7,20130717
87,CN201130164682.7,20130717
88,CN201130164684.6,20130717
89,CN201130164689.9,20130717
90,CN201130164696.9,20130717
91,CN201130164701.6,20130717
92,CN201130164706.9,20130717
93,CN201130164708.8,20130717
94,CN201130164711.X,20130717
95,CN201130164715.8,20130717
96,CN201130164718.1,20130717
97,CN201130164722.8,20130717
98,CN201130164737.4,20130717
99,CN201130164740.6,20130717
100,CN201130164748.2,20130717
101,CN201130164631.4,20130717
102,CN201130164632.9,20130717
103,CN201130164633.3,20130717
104,CN201130164635.2,20130717
105,CN201130164636.7,20130717
106,CN201130164638.6,20130717
107,CN201130164731.7,20130717
108,CN201130164732.1,20130717
109,CN201130164750.X,20130717
110,CN201130164751.4,20130717
111,CN201130164753.3,20130717
112,CN201130132705.6,20130710
113,CN201130237997.X,20150909
114,CN201020541801.6,20120530
115,CN201020538605.3,20130306
