"","SQH","SXRQ"
"1","CN201220217255.X","20150318"
"2","CN201220217238.6","20150318"
"3","CN201320492255.5","20150902"
"4","CN201420213691.9","20160113"
"5","CN201020205751.4","20130703"
"6","CN201520128973.3","20161005"
"7","CN201220217255.X","20150318"
"8","CN201220217238.6","20150318"
"9","CN201320492255.5","20150902"
"10","CN201420213691.9","20160113"
"11","CN201020205751.4","20130703"
"12","CN201520128973.3","20161005"
"13","CN201320762683.5","20160817"
"14","CN201220602820.4","20160622"
"15","CN201220440318.8","20141119"
"16","CN201320817678.X","20151223"
"17","CN201420012725.8","20151209"
"18","CN201420372032.X","20151118"
"19","CN201320886216.3","20160210"
"20","CN201320675861.0","20160330"
"21","CN201320675956.2","20160608"
"22","CN201320710278.9","20160706"
"23","CN201220440318.8","20141119"
"24","CN201320817678.X","20151223"
"25","CN201420012725.8","20151209"
"26","CN201420372032.X","20151118"
"27","CN201320886216.3","20160210"
"28","CN201320675861.0","20160330"
"29","CN201320675956.2","20160608"
"30","CN201320710278.9","20160706"
"31","CN201130002030.3","20140312"
"32","CN201130085069.6","20140611"
"33","CN201130085218.9","20140611"
"34","CN201130085495.X","20140611"
"35","CN201130085847.1","20140611"
"36","CN201130084538.2","20140611"
"37","CN201130045348.X","20150506"
"38","CN201130045349.4","20150506"
"39","CN201130045352.6","20140507"
"40","CN201130101890.2","20140625"
"41","CN201130101906.X","20140625"
"42","CN201130101908.9","20140625"
"43","CN201130101990.5","20140625"
"44","CN201130101994.3","20140625"
"45","CN201130101998.1","20140625"
"46","CN201130085356.7","20140611"
"47","CN201130085529.5","20140611"
"48","CN201130085771.2","20140611"
"49","CN201130060802.9","20140521"
"50","CN201130060750.5","20150520"
"51","CN201130060760.9","20150520"
"52","CN201130060765.1","20150520"
"53","CN201130060774.0","20140521"
"54","CN201130486795.9","20140212"
"55","CN201130457621.X","20140129"
"56","CN201130502360.9","20140226"
"57","CN201130502380.6","20140226"
"58","CN201130502386.3","20140226"
"59","CN201130502388.2","20160302"
"60","CN201130503796.X","20160302"
"61","CN201130503800.2","20150218"
"62","CN201130503807.4","20150218"
"63","CN201130503808.9","20140226"
"64","CN201130503809.3","20140226"
"65","CN201130503919.X","20140226"
"66","CN201130503921.7","20140226"
"67","CN201130503922.1","20140226"
"68","CN201130503926.X","20140226"
"69","CN201130503927.4","20140226"
"70","CN201130503929.3","20140226"
"71","CN201130503931.0","20140226"
"72","CN201130503933.X","20140226"
"73","CN201130502916.4","20140226"
"74","CN201130502922.X","20140226"
"75","CN201130502923.4","20140226"
"76","CN201130502927.2","20140226"
"77","CN201130502929.1","20140226"
"78","CN201130502931.9","20140226"
"79","CN201130504001.7","20140226"
"80","CN201130504003.6","20140226"
"81","CN201130504005.5","20140226"
"82","CN201130504012.5","20140226"
"83","CN201130504307.2","20140226"
"84","CN201130504308.7","20140226"
"85","CN201130504309.1","20140226"
"86","CN201130504316.1","20140226"
"87","CN201130504318.0","20140226"
"88","CN201130504319.5","20140226"
"89","CN201130504320.8","20150218"
"90","CN201130504321.2","20140226"
"91","CN201130504322.7","20150218"
"92","CN201130504346.2","20140226"
"93","CN201130504351.3","20140226"
"94","CN201130486802.5","20140212"
"95","CN201130486803.X","20150204"
"96","CN201130486804.4","20140212"
"97","CN201130486793.X","20140212"
"98","CN201130494200.4","20140219"
"99","CN201130494328.0","20140219"
"100","CN201130494332.7","20140219"
"101","CN201130494425.X","20140219"
"102","CN201130494426.4","20140219"
"103","CN201130494428.3","20140219"
"104","CN201130494432.X","20140219"
"105","CN201130495751.2","20160210"
"106","CN201130494219.9","20140219"
"107","CN201130494409.0","20140219"
"108","CN201130494411.8","20140219"
"109","CN201130494433.4","20140219"
"110","CN201130494434.9","20140219"
"111","CN201130494435.3","20140219"
"112","CN201130494578.4","20160210"
"113","CN201130492288.6","20140219"
"114","CN201130492355.4","20140219"
"115","CN201130492561.5","20140219"
"116","CN201130492592.0","20140219"
"117","CN201130492594.X","20160210"
"118","CN201130495041.X","20140219"
"119","CN201130492282.9","20140219"
"120","CN201130492298.X","20140219"
"121","CN201130492300.3","20140219"
"122","CN201130492304.1","20140219"
"123","CN201130492374.7","20140219"
"124","CN201130492577.6","20140219"
"125","CN201130492583.1","20140219"
"126","CN201130492585.0","20140219"
"127","CN201130492604.X","20140219"
"128","CN201130492284.8","20140219"
"129","CN201130492302.2","20140219"
"130","CN201130492303.7","20140219"
"131","CN201130492309.4","20140219"
"132","CN201130492354.X","20140219"
"133","CN201130492375.1","20140219"
"134","CN201130492581.2","20140219"
"135","CN201130492595.4","20140219"
"136","CN201130488930.3","20140219"
"137","CN201130488932.2","20140219"
"138","CN201130492579.5","20140219"
"139","CN201130492601.6","20140219"
"140","CN201130492605.4","20140219"
"141","CN201130492653.3","20150204"
"142","CN201130488927.1","20140219"
"143","CN201130506058.0","20140226"
"144","CN201130506059.5","20150225"
"145","CN201130506066.5","20160302"
"146","CN201130406682.3","20151223"
"147","CN201130406683.8","20131218"
"148","CN201130406684.2","20151223"
"149","CN201130406686.1","20151223"
"150","CN201130406696.5","20131218"
"151","CN201130406664.5","20131218"
"152","CN201130376869.3","20151209"
"153","CN201130376871.0","20151209"
"154","CN201230590308.8","20150114"
"155","CN201230590314.3","20150114"
"156","CN201230590315.8","20150114"
"157","CN201230590316.2","20160120"
"158","CN201230590346.3","20150114"
"159","CN201230590347.8","20150114"
"160","CN201230590436.2","20150114"
"161","CN201230590446.6","20150114"
"162","CN201230592321.7","20150114"
"163","CN201230592322.1","20150114"
"164","CN201230602994.6","20160120"
"165","CN201230603023.3","20150121"
"166","CN201230606421.0","20150121"
"167","CN201230606543.X","20160120"
"168","CN201230609504.5","20160120"
"169","CN201230609506.4","20150121"
"170","CN201230606600.4","20150121"
"171","CN201230609695.5","20160120"
"172","CN201230609930.9","20150121"
"173","CN201230609456.X","20150121"
"174","CN201230609461.0","20150121"
"175","CN201230609664.X","20150121"
