"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15"
"19960627","TOTALASSETS","448,925","25,858","150,509","15,672","29,717","44,147","31,365","46,520","17,360","7,455","12,864","16,106","51,349"
"19960801","TOTALASSETS","464,207","27,089","155,108","16,276","29,628","44,680","31,658","47,972","16,913","7,547","13,272","16,800","57,264"
"19960905","TOTALASSETS","458,253","26,691","142,658","15,299","32,381","43,400","32,427","48,827","16,793","7,241","13,345","16,651","62,540"
"19961003","TOTALASSETS","451,735","27,525","138,614","15,052","32,224","41,999","32,436","49,159","17,910","6,825","13,758","14,462","61,768"
"19961107","TOTALASSETS","461,347","28,085","144,268","15,178","32,854","42,906","31,243","50,434","18,163","6,783","14,052","15,648","61,732"
"19961205","TOTALASSETS","468,923","27,902","149,585","15,532","32,745","42,198","31,215","49,715","18,432","7,138","14,297","17,420","62,744"
"19970102","TOTALASSETS","481,507","27,629","160,499","16,131","31,888","41,805","31,477","49,919","18,257","7,194","14,257","18,156","64,295"
"19970206","TOTALASSETS","458,449","25,842","155,129","14,231","30,542","40,060","28,785","47,257","17,499","6,500","13,306","18,945","60,353"
"19970306","TOTALASSETS","462,287","25,411","154,660","14,244","30,220","40,187","29,138","46,428","17,459","6,419","13,137","22,409","62,575"
"19970403","TOTALASSETS","468,579","26,236","158,308","14,959","29,967","40,533","27,974","46,760","16,976","6,363","13,135","22,085","65,281"
"19970501","TOTALASSETS","516,871","26,764","211,015","14,575","29,688","39,050","26,556","45,765","16,511","7,020","12,863","22,330","64,734"
"19970605","TOTALASSETS","477,754","27,122","171,230","14,789","29,325","39,183","26,676","47,064","16,348","6,705","12,892","21,981","64,439"
"19970703","TOTALASSETS","480,188","26,925","175,927","14,587","30,639","39,307","26,229","45,888","16,341","6,687","12,799","20,445","64,413"
"19970807","TOTALASSETS","477,123","26,196","175,617","14,119","31,515","38,002","30,013","45,845","15,593","5,742","11,948","20,176","62,356"
"19970904","TOTALASSETS","485,112","26,204","177,855","14,147","30,847","38,205","31,091","47,463","16,353","5,896","12,259","21,798","62,993"
"19971002","TOTALASSETS","481,083","24,865","178,768","14,066","30,140","37,150","30,641","47,098","16,432","5,644","14,143","21,817","60,320"
"19971106","TOTALASSETS","492,191","25,602","182,598","13,634","30,584","37,834","32,381","47,133","17,148","6,596","14,706","22,249","61,725"
"19971204","TOTALASSETS","500,197","25,208","186,170","15,610","31,881","37,050","33,418","46,200","17,842","6,326","15,338","23,130","62,025"
"19980205","TOTALASSETS","489,856","24,480","189,728","14,361","31,080","35,490","31,840","43,628","17,146","6,155","14,406","23,717","57,824"
"19980305","TOTALASSETS","494,036","24,549","187,783","14,298","31,343","36,221","32,545","45,881","17,128","6,645","15,223","25,259","57,162"
"19980402","TOTALASSETS","498,397","24,787","189,592","14,753","31,578","37,337","31,414","46,388","16,932","6,950","15,105","25,571","57,991"
"19980507","TOTALASSETS","500,312","25,274","190,869","14,745","31,571","37,052","31,010","46,906","16,568","7,138","15,557","25,522","58,100"
"19980604","TOTALASSETS","508,590","25,253","196,334","14,966","31,233","38,290","31,353","46,552","17,043","7,101","16,062","26,358","58,046"
"19980702","TOTALASSETS","516,273","25,588","202,566","15,238","31,407","38,642","31,823","46,306","16,956","7,464","16,089","26,084","58,110"
"19980806","TOTALASSETS","507,520","24,436","202,752","15,821","29,490","39,080","30,573","44,236","16,295","7,002","15,279","25,451","57,105"
"19980903","TOTALASSETS","512,115","26,125","207,698","15,232","28,742","38,750","30,785","44,437","15,787","7,121","15,268","24,930","57,241"
"19981001","TOTALASSETS","524,989","25,519","220,688","15,112","28,711","37,754","31,024","44,731","15,434","7,217","15,272","25,633","57,894"
"19981105","TOTALASSETS","521,450","25,143","211,547","15,349","28,482","42,786","30,229","46,579","16,008","7,256","15,243","26,484","56,343"
"19981203","TOTALASSETS","527,687","27,049","208,671","16,893","28,637","44,515","31,609","47,358","16,060","7,458","15,553","26,460","57,424"
