,0,1
0,19960705,454822
1,19961129,462251
2,19971128,492964
3,19971226,505142
4,19980102,517847
5,19981127,527256
6,19991112,580809
7,19991126,596384
8,20001124,596293
9,20011123,645131
10,20020705,679779
11,20021129,697941
12,20031128,757859
13,20031226,767892
14,20040102,772444
15,20041112,801832
16,20041126,811403
17,20051125,835761
18,20061124,869093
19,20071123,894471
20,20081128,2109083
21,20090102,2265904
22,20091127,2209567
23,20101112,2315758
24,20101126,2348788
25,20111125,2824537
26,20121123,2872736
27,20130705,3492742
28,20131129,3925876
29,20141128,4485931
30,20150102,4497660
31,20151127,4477088
32,20161118,4453633
33,20161125,4465782
34,20171124,4450615
