date,open,cp
2006-1-4,926.56,941.43
2006-1-5,943.85,959.13
2006-1-6,961.91,970.03
2006-1-9,971.09,975.25
2006-1-10,975.28,978.15
2006-1-11,977.64,973.48
2006-1-12,972.39,983.72
2006-1-13,985.04,978.81
2006-1-16,977.89,961.44
2006-1-17,959.4,964.29
2006-1-18,964.22,983.62
2006-1-19,985.22,991.22
2006-1-20,991.57,993.34
2006-1-23,993.74,996.16
2006-1-24,997.79,999.09
2006-1-25,998.84,1009.6
2006-2-6,1013.42,1033.23
2006-2-7,1034.68,1029.94
2006-2-8,1028.44,1033.07
2006-2-9,1033.19,1019.6
2006-2-10,1019.42,1032.34
2006-2-13,1034.38,1031.61
2006-2-14,1032.65,1038.53
2006-2-15,1040.33,1041.66
2006-2-16,1041.67,1020.12
2006-2-17,1020.06,1020.37
2006-2-20,1020.74,1021.64
2006-2-21,1020.98,1038.82
2006-2-22,1039.65,1037.89
2006-2-23,1038.25,1041.37
2006-2-24,1041.97,1049.44
2006-2-27,1055.95,1047.84
2006-2-28,1046.71,1053.01
2006-3-1,1051.76,1056.62
2006-3-2,1055.86,1038.67
2006-3-3,1037.99,1041.68
2006-3-6,1041.75,1038.87
2006-3-7,1037.93,1014.97
2006-3-8,1012.58,1009.27
2006-3-9,1006.97,1004.34
2006-3-10,1004.75,1008.9
2006-3-13,1008.8,1019.86
2006-3-14,1020.47,1018.27
2006-3-15,1018.15,1028.96
2006-3-16,1028.96,1027.62
2006-3-17,1027.64,1024.02
2006-3-20,1024.5,1037.66
2006-3-21,1037.95,1040.76
2006-3-22,1041.14,1047.67
2006-3-23,1047.35,1048.54
2006-3-24,1049.12,1042.6
2006-3-27,1042.63,1050.71
2006-3-28,1050.07,1055.98
2006-3-29,1058.74,1065.29
2006-3-30,1065.84,1055.63
2006-3-31,1053.85,1061.09
2006-4-3,1061.96,1079.32
2006-4-4,1080.86,1089.37
2006-4-5,1091.18,1099.97
2006-4-6,1102.54,1103.24
2006-4-7,1102.94,1103.15
2006-4-10,1104.32,1117.91
2006-4-11,1120.16,1123.31
2006-4-12,1123.78,1117.07
2006-4-13,1116.84,1093.93
2006-4-14,1091.69,1118.61
2006-4-17,1120.19,1124.41
2006-4-18,1127.51,1131.28
2006-4-19,1135.61,1138.24
2006-4-20,1139.64,1134.38
2006-4-21,1133.2,1149.16
2006-4-24,1156.91,1142.7
2006-4-25,1139.49,1141.93
2006-4-26,1142.9,1155.73
2006-4-27,1157.38,1155.27
2006-4-28,1143.59,1172.35
2006-5-8,1179.58,1218.44
2006-5-9,1226.31,1251.61
2006-5-10,1257.98,1265.93
2006-5-11,1267.22,1255.04
2006-5-12,1255.23,1296.26
2006-5-15,1312.14,1352.16
2006-5-16,1368.13,1331.13
2006-5-17,1331.69,1335.52
2006-5-18,1322.65,1331.2
2006-5-19,1334.07,1366.1
2006-5-22,1366.32,1373.67
2006-5-23,1365.1,1317.65
2006-5-24,1325.68,1308.24
2006-5-25,1304.69,1307.7
2006-5-26,1312.24,1331.02
2006-5-29,1339.9,1366.29
2006-5-30,1375.3,1378.76
2006-5-31,1377.45,1365.45
2006-6-1,1364.18,1402.88
2006-6-2,1406.62,1390.12
2006-6-5,1391.46,1403.16
2006-6-6,1400.27,1399.14
2006-6-7,1398.18,1320.23
2006-6-8,1309.07,1325.98
2006-6-9,1320.81,1294.19
2006-6-12,1283.83,1297.67
2006-6-13,1296.41,1298.28
2006-6-14,1291.69,1283.88
2006-6-15,1283.72,1285.39
2006-6-16,1290,1318.01
2006-6-19,1306.26,1334.89
2006-6-20,1333.62,1338.22
2006-6-21,1336.84,1333.53
2006-6-22,1331.93,1331.55
2006-6-23,1329.11,1339.45
2006-6-26,1341.61,1363.41
2006-6-27,1365.04,1363.9
2006-6-28,1361.79,1362.89
2006-6-29,1365.25,1395.12
2006-6-30,1402.59,1393.96
2006-7-3,1398.74,1420.33
2006-7-4,1423.08,1411.01
2006-7-5,1409.9,1393.01
2006-7-6,1391.64,1418.68
2006-7-7,1423.72,1410.43
2006-7-10,1410.5,1412.12
2006-7-11,1414.14,1418.57
2006-7-12,1419.07,1419.2
2006-7-13,1415.88,1346.09
2006-7-14,1333.74,1357.13
2006-7-17,1354.14,1372.25
2006-7-18,1370.9,1373.42
2006-7-19,1370.29,1336.64
2006-7-20,1335.41,1345.19
2006-7-21,1344.6,1356.03
2006-7-24,1340.28,1358.12
2006-7-25,1359.32,1374.17
2006-7-26,1377.78,1371.3
2006-7-27,1370.75,1355.55
2006-7-28,1354.92,1341.39
2006-7-31,1338.04,1294.33
2006-8-1,1292.71,1282.06
2006-8-2,1281.89,1275.09
2006-8-3,1277.63,1271.74
2006-8-4,1272.36,1241.91
2006-8-7,1233.49,1224.1
2006-8-8,1225.04,1252.39
2006-8-9,1254.37,1251.3
2006-8-10,1251.16,1271.47
2006-8-11,1273.27,1275.65
2006-8-14,1275.14,1245.72
2006-8-15,1243.16,1265.86
2006-8-16,1266.82,1283.57
2006-8-17,1280.28,1271.63
2006-8-18,1270.22,1267.87
2006-8-21,1235.43,1270.56
2006-8-22,1270.1,1285.27
2006-8-23,1284.82,1285.68
2006-8-24,1284.83,1292.4
2006-8-25,1293.5,1295.44
2006-8-28,1298.46,1325.89
2006-8-29,1328.61,1330.16
2006-8-30,1328.37,1334.67
2006-8-31,1335.59,1338.69
2006-9-1,1339.31,1318.1
2006-9-4,1315.71,1337.24
2006-9-5,1339.59,1340.68
2006-9-6,1341.4,1346.37
2006-9-7,1348.17,1328.38
2006-9-8,1327.56,1332.15
2006-9-11,1331.89,1338.76
2006-9-12,1338.81,1347.64
2006-9-13,1348.85,1338.39
2006-9-14,1338.35,1338.28
2006-9-15,1338.41,1362.32
2006-9-18,1367.65,1375.56
2006-9-19,1377.72,1378.31
2006-9-20,1376.12,1378.46
2006-9-21,1378.46,1387.37
2006-9-22,1389.87,1374.85
2006-9-25,1372.81,1372.4
2006-9-26,1370.86,1357.65
2006-9-27,1357.28,1371.12
2006-9-28,1372.13,1387
2006-9-29,1389.07,1403.27
2006-10-9,1420.36,1436.07
2006-10-10,1437.69,1437.24
2006-10-11,1436.68,1435.91
2006-10-12,1436.2,1426.5
2006-10-13,1424.3,1430.88
2006-10-16,1432.31,1418.52
2006-10-17,1416.95,1414.45
2006-10-18,1413.91,1437.59
2006-10-19,1438.84,1439.38
2006-10-20,1440.67,1440.18
2006-10-23,1439.54,1408.71
2006-10-24,1408.58,1440.05
2006-10-25,1443.11,1446.82
2006-10-26,1447.09,1456.09
2006-10-27,1455.98,1439.05
2006-10-30,1436.66,1446.24
2006-10-31,1447.06,1464.47
2006-11-1,1465.67,1479.41
2006-11-2,1480.55,1479.66
2006-11-3,1481.58,1488.29
2006-11-6,1477.44,1507.89
2006-11-7,1512.65,1516.1
2006-11-8,1512.36,1498.17
2006-11-9,1491.8,1524.71
2006-11-10,1525.23,1504.06
2006-11-13,1498.06,1475.78
2006-11-14,1475.44,1493.78
2006-11-15,1494.11,1534.76
2006-11-16,1540.26,1533.29
2006-11-17,1528.01,1562.08
2006-11-20,1567.34,1593.16
2006-11-21,1591.47,1612.25
2006-11-22,1610.05,1624.03
2006-11-23,1623.71,1634.91
2006-11-24,1629.89,1636.58
2006-11-27,1632.66,1651.8
2006-11-28,1649.68,1644.01
2006-11-29,1617.69,1667.14
2006-11-30,1671.67,1714.36
2006-12-1,1719.28,1729.22
2006-12-4,1731.9,1780.74
2006-12-5,1785.44,1794.23
2006-12-6,1794.26,1779.41
2006-12-7,1774.19,1775.71
2006-12-8,1752.77,1711.58
2006-12-11,1705.91,1789.92
2006-12-12,1798.46,1802.79
2006-12-13,1805.42,1803.86
2006-12-14,1807.08,1836.14
2006-12-15,1842.88,1867.64
2006-12-18,1875.01,1916.11
2006-12-19,1924.8,1921.44
2006-12-20,1912.9,1936.55
2006-12-21,1935.78,1908.98
2006-12-22,1896.48,1895.64
2006-12-25,1898.82,1939.1
2006-12-26,1941.8,1938.24
2006-12-27,1940.41,1982.88
2006-12-28,1988.02,1979.93
2006-12-29,1991.88,2041.05
2007-1-4,2073.25,2067.09
2007-1-5,2051.15,2072.88
2007-1-8,2072,2131.56
2007-1-9,2137.49,2200.09
2007-1-10,2210.76,2255.97
2007-1-11,2257.01,2231.63
2007-1-12,2215.86,2173.75
2007-1-15,2170.94,2287.34
2007-1-16,2310.96,2353.87
2007-1-17,2360.41,2308.93
2007-1-18,2292.17,2317.09
2007-1-19,2320.87,2396.09
2007-1-22,2424.81,2491.31
2007-1-23,2508.26,2508.13
2007-1-24,2508.52,2536.43
2007-1-25,2512.46,2452.83
2007-1-26,2415.75,2512.92
2007-1-29,2529.94,2576.92
