date,op,cp
2011-01-04,3155.56,3189.68
2011-01-05,3170.18,3175.66
2011-01-06,3177.84,3159.64
2011-01-07,3156.36,3166.62
2011-01-10,3162.09,3108.19
2011-01-11,3096.25,3124.92
2011-01-12,3135.18,3142.34
2011-01-13,3153.99,3141.28
2011-01-14,3129.67,3091.86
2011-01-17,3067.43,2974.35
2011-01-18,2965.42,2977.65
2011-01-19,2978.46,3044.85
2011-01-20,3037.86,2944.71
2011-01-21,2935.23,2983.46
2011-01-24,2986.09,2954.23
2011-01-25,2949.65,2938.65
2011-01-26,2939.77,2978.43
2011-01-27,2953.59,3026.47
2011-01-28,3020.12,3036.74
2011-01-31,3035.42,3076.51
2011-02-01,3083.49,3077.28
2011-02-09,3055.4,3040.95
2011-02-10,3034.08,3104.16
2011-02-11,3100.27,3120.96
2011-02-14,3123.25,3219.14
2011-02-15,3223.22,3217.67
2011-02-16,3211.14,3248.53
2011-02-17,3255.63,3245.91
2011-02-18,3240.05,3211.88
2011-02-21,3192.15,3257.91
2011-02-22,3267.62,3163.58
2011-02-23,3152.44,3174.74
2011-02-24,3170.24,3190.94
2011-02-25,3190.87,3197.62
2011-02-28,3200.68,3239.56
2011-03-01,3241.71,3254.89
2011-03-02,3237.12,3243.3
2011-03-03,3248.16,3221.72
2011-03-04,3223.51,3270.67
2011-03-07,3287.41,3334.51
2011-03-08,3335.71,3337.46
2011-03-09,3344.1,3338.86
2011-03-10,3330.44,3280.26
2011-03-11,3263.08,3247.38
2011-03-14,3238.91,3262.92
2011-03-15,3250.6,3203.96
2011-03-16,3204.92,3248.2
2011-03-17,3216.29,3197.1
2011-03-18,3228.92,3215.69
2011-03-21,3220.68,3207.11
2011-03-22,3217.8,3222.96
2011-03-23,3222.33,3264.93
2011-03-24,3269.58,3251.36
2011-03-25,3256.18,3294.48
2011-03-28,3307.41,3290.57
2011-03-29,3288.56,3257.98
2011-03-30,3256.72,3256.08
2011-03-31,3257.16,3223.29
2011-04-01,3227.56,3272.73
2011-04-06,3269.19,3311.07
2011-04-07,3313.47,3324.42
2011-04-08,3321.54,3353.36
2011-04-11,3363.37,3333.43
2011-04-12,3324.75,3326.77
2011-04-13,3311.32,3372.03
2011-04-14,3374.32,3353.56
2011-04-15,3345.13,3358.94
2011-04-18,3346.15,3359.44
2011-04-19,3334.91,3295.81
2011-04-20,3300.42,3295.76
2011-04-21,3312.27,3317.37
2011-04-22,3317.08,3299.94
2011-04-25,3292.48,3249.57
2011-04-26,3242.53,3230.96
2011-04-27,3242.62,3209.5
2011-04-28,3224.41,3161.78
2011-04-29,3161.16,3192.72
2011-05-03,3192.85,3211.13
2011-05-04,3192.84,3129.03
2011-05-05,3115,3126.12
2011-05-06,3093.81,3121.4
2011-05-09,3126.26,3129.76
2011-05-10,3135.15,3153.22
2011-05-11,3153.65,3145.09
2011-05-12,3123.16,3101.6
2011-05-13,3105.3,3128.09
2011-05-16,3120.44,3100.46
2011-05-17,3097.07,3116.03
2011-05-18,3109.29,3139.38
2011-05-19,3148.35,3120.64
2011-05-20,3120.58,3121.6
