hsp.hsp,mv10.mv10,mv20.mv20,vol10.vol10,vol20.vol20,rsi5.rsi5,rsi14.rsi14,macd.macd1,signal.macd1,macd.macd2,signal.macd2,dn,mavg,up,pctB,Direction
941.43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
959.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
970.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
975.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
978.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1
973.48,NA,NA,NA,NA,88.71708142,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
983.72,NA,NA,NA,NA,86.23636899,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1
978.81,NA,NA,NA,NA,65.71224052,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2
961.44,NA,NA,NA,NA,32.77625343,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
964.29,968.573,NA,12.43591131,NA,32.69230769,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
983.62,972.792,NA,8.841424973,NA,59.26873857,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
991.22,976.001,NA,9.149992653,NA,57.20322705,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
993.34,978.332,NA,10.35027514,NA,64.7452811,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
996.16,980.423,NA,11.68460435,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
999.09,982.517,NA,13.03078325,NA,100,75.84259591,NA,NA,NA,NA,NA,NA,NA,NA,2
1009.6,986.129,NA,15.09071786,NA,100,74.17840376,NA,NA,NA,NA,NA,NA,NA,NA,2
1033.23,991.08,NA,21.12698327,NA,100,76.98548249,NA,NA,NA,NA,NA,NA,NA,NA,-1
1029.94,996.193,NA,23.8403575,NA,92.38073182,73.74316228,NA,NA,NA,NA,NA,NA,NA,NA,1
1033.07,1003.356,NA,22.98385965,NA,92.43504254,73.79549393,NA,NA,NA,NA,NA,NA,NA,NA,-2
1019.6,1008.887,988.73,18.81522968,25.85798848,68.98019619,68.5668277,NA,NA,2.883641497,NA,938.3235008,988.73,1039.136499,0.806210514,2
1032.34,1013.759,993.2755,17.8274878,25.08447464,70.20974049,69.18705604,NA,NA,2.933174129,NA,944.3768569,993.2755,1042.174143,0.899443599,-1
1031.61,1017.798,996.8995,16.69294715,25.12739928,47.57194245,71.54750245,NA,NA,3.025000442,NA,947.9171814,996.8995,1045.881819,0.854316629,1
1038.53,1022.317,1000.3245,15.40309785,25.92788957,61.61124628,84.39368252,NA,NA,3.085405929,NA,949.7817385,1000.3245,1050.867261,0.877952242,1
1041.66,1026.867,1003.645,13.40910474,26.78592747,61.61124628,84.43257677,NA,NA,2.864345176,2.958313435,951.4296147,1003.645,1055.860385,0.864021062,-2
1020.12,1028.97,1005.7435,9.706647207,26.32348247,50.57700843,65.93051676,NA,NA,2.51023248,2.883631631,954.429586,1005.7435,1057.057414,0.640083838,1
1020.37,1030.047,1008.088,7.710993667,25.36953863,31.62419404,63.59481392,2.737433532,NA,2.091852525,2.71536731,958.6336649,1008.088,1057.542335,0.62417516,1
1021.64,1028.888,1009.984,8.043272966,24.86449305,34.94412564,63.30387364,2.608600646,NA,1.929054605,2.496178143,961.5141799,1009.984,1058.45382,0.62023977,2
1038.82,1029.776,1012.9845,8.640348758,24.52308675,50.33433249,67.66898608,2.537929096,NA,1.718521571,2.222801271,965.1802033,1012.9845,1060.788797,0.770221526,-1
1037.89,1030.258,1016.807,8.972575253,21.88182642,45.42142337,66.34097035,2.31077213,NA,1.424360769,1.93480439,974.1514676,1016.807,1059.462532,0.747130897,1
1041.37,1032.435,1020.661,8.737239902,18.70225371,95.97576807,64.22240129,2.147428121,NA,1.081134117,1.648984717,984.2035959,1020.661,1057.118404,0.784016381,1
1049.44,1034.145,1023.952,10.25764891,17.59978038,96.99321048,58.43129096,2.005534789,NA,0.864800582,1.403574329,989.643712,1023.952,1058.260288,0.871455434,-1
1047.84,1035.768,1026.783,11.06425556,16.58194106,91.90658989,59.47691656,1.949984267,NA,0.972371266,1.212237661,994.4588461,1026.783,1059.107154,0.825716182,1
1053.01,1037.216,1029.7665,12.33986602,15.58617886,86.85714286,60.33374793,1.852296133,NA,1.132635408,1.095060428,999.383444,1029.7665,1060.149556,0.882507606,1
1056.62,1038.712,1032.7895,13.76322217,14.55406164,92.70405837,71.3691988,1.757882397,2.211984568,1.320466838,1.074281642,1004.418411,1032.7895,1061.160589,0.91997859,-2
1038.67,1040.567,1034.7685,12.13244324,12.23710633,46.29120879,53.44658608,1.463835841,2.070473713,1.124620075,1.082978834,1010.913988,1034.7685,1058.623012,0.581776983,1
1041.68,1042.698,1036.3725,9.8470185,10.78021525,37.61965539,55.3501222,1.169910304,1.910619231,1.020351549,1.114089027,1015.357992,1036.3725,1057.387008,0.626281804,-1
1038.87,1044.421,1036.6545,6.783975318,10.76744483,36.22119816,50.18888889,1.112833276,1.752275251,0.958419608,1.111298696,1015.664886,1036.6545,1057.644114,0.552776101,-2
1014.97,1042.036,1035.906,11.51476752,11.7355678,12.90951638,37.95251422,0.979468857,1.604352665,0.556007426,0.995973099,1013.029167,1035.906,1058.782833,0.042419184,-1
