No,Treated,classify,持股集中度2013.6,持股集中度2013.12,持股集中度2014.6,持股集中度2014.12,持股集中度2015.6,持股集中度2015.12,持股集中度2016.6,持股集中度2016.12,持股集中度2017.6,持股集中度2017.12
208500002021,0,0,0.00%,0.00%,0.00%,0.00%,2.46%,13.02%,45.78%,80.25%,7.11%,24.91%
205819038022,0,0,0.00%,0.00%,0.00%,0.00%,8.40%,24.64%,44.60%,17.89%,15.03%,22.14%
205816008446,0,0,0.00%,0.00%,0.00%,0.00%,20.73%,19.11%,54.06%,32.24%,40.64%,33.74%
205819041656,0,0,0.00%,0.00%,0.00%,0.00%,36.21%,26.90%,21.01%,19.40%,17.79%,21.48%
205819024470,0,0,0.00%,0.00%,0.00%,0.00%,31.63%,19.54%,41.12%,31.83%,18.05%,24.20%
205819037935,0,0,0.00%,0.00%,0.00%,0.00%,24.73%,36.72%,29.28%,35.80%,33.62%,51.47%
205819040113,0,0,0.00%,0.00%,0.00%,0.00%,48.11%,31.32%,28.96%,14.88%,20.44%,21.13%
205816006766,0,0,0.00%,0.00%,0.00%,0.00%,30.21%,45.00%,46.57%,28.33%,21.76%,57.11%
208519771225,0,0,0.00%,0.00%,0.00%,0.00%,59.58%,32.40%,11.66%,9.71%,49.75%,17.20%
208500003851,0,0,0.00%,0.00%,0.00%,0.00%,30.84%,64.81%,57.82%,65.33%,42.04%,45.06%
205819036435,0,0,0.00%,0.00%,0.00%,30.97%,33.56%,23.01%,38.30%,60.64%,0.00%,16.50%
205819883298,0,0,0.00%,0.00%,0.00%,30.52%,37.03%,43.27%,37.26%,40.65%,38.81%,0.00%
205819039843,0,0,0.00%,0.00%,0.00%,0.00%,47.03%,66.33%,56.32%,51.93%,54.84%,57.59%
205819037769,0,0,0.00%,0.00%,0.00%,0.00%,84.39%,39.63%,39.88%,40.23%,23.27%,24.00%
205819040867,0,0,0.00%,0.00%,0.00%,0.00%,41.99%,79.62%,63.49%,63.60%,65.46%,65.74%
207000013308,0,0,0.00%,0.00%,0.00%,0.00%,54.40%,98.95%,85.55%,54.06%,5.63%,34.19%
205816006905,0,0,0.00%,0.00%,0.00%,0.00%,64.11%,42.32%,41.75%,42.01%,57.09%,55.24%
207000013426,0,0,0.00%,0.00%,0.00%,0.00%,70.72%,73.44%,78.30%,74.38%,60.05%,62.12%
205819053299,0,0,0.00%,0.00%,0.00%,0.00%,99.85%,67.05%,41.92%,51.00%,71.75%,40.32%
205819040538,0,0,0.00%,0.00%,0.00%,0.00%,90.00%,99.99%,62.16%,35.40%,49.52%,57.70%
208528331998,0,0,0.00%,0.00%,0.00%,0.00%,68.92%,99.97%,99.96%,95.08%,88.89%,86.79%
205819039469,0,0,0.00%,0.00%,0.00%,0.00%,99.71%,98.69%,99.99%,60.75%,24.47%,55.29%
205819037771,0,0,0.00%,0.00%,0.00%,0.00%,99.79%,99.28%,99.00%,68.01%,63.66%,69.10%
205819052256,0,1,0.00%,0.00%,0.00%,0.00%,3.61%,20.94%,16.28%,15.38%,5.78%,5.31%
205819053161,0,1,0.00%,0.00%,0.00%,0.00%,3.63%,16.67%,26.91%,30.30%,35.54%,31.00%
208518000129,0,1,0.00%,0.00%,0.00%,0.00%,5.69%,41.13%,13.33%,23.14%,22.51%,17.39%
205816002829,0,1,0.00%,0.00%,0.00%,0.00%,12.34%,15.46%,16.95%,20.85%,9.64%,9.94%
205819051707,0,1,0.00%,0.00%,0.00%,0.00%,20.11%,9.98%,12.25%,10.84%,7.09%,10.26%
205816007645,0,1,0.00%,0.00%,0.00%,0.00%,10.12%,48.02%,62.47%,27.71%,10.91%,1.16%
205816006885,0,1,0.00%,0.00%,0.00%,0.00%,19.58%,13.43%,20.36%,13.63%,26.36%,10.84%
208500002160,0,1,0.00%,0.00%,0.00%,0.00%,13.20%,25.26%,25.19%,27.40%,25.18%,26.16%
205819988988,0,1,0.00%,0.00%,0.00%,0.00%,12.76%,48.60%,59.31%,17.35%,9.79%,33.38%
208500001302,0,1,0.00%,0.00%,0.00%,0.00%,20.02%,20.10%,17.90%,21.41%,22.96%,28.42%
205819039657,0,1,0.00%,0.00%,0.00%,0.00%,22.36%,15.88%,18.40%,19.33%,27.49%,31.43%
205819039835,0,1,0.00%,0.00%,0.00%,0.00%,15.14%,37.03%,35.21%,29.90%,33.02%,37.20%
