"","op","high","low","cl","volum","amount","return","afcl","afreturn","mv2","mv2_1","mv10","vol10","vol20","rsi5","rsi14","macd.object","macd1","macd.value","macd2"
"2005-04-08",984.67,1003.7,979.53,1003.45,147625.26,915134.98,NA,837.28,-0.205,920.365,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2005-06-07",841.58,858.09,835.18,837.28,130670.68,724857.76,-0.205,844.73,0.2575,841.005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2005-07-07",841.75,848.02,839.28,844.73,59624.65,290182.66,0.2575,952.72,0.5117,898.725,920.365,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2005-09-05",949.08,952.99,944.63,952.72,178433.18,824222.61,0.5117,878.36,0.4322,915.54,841.005,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2005-11-04",873.35,878.36,869.68,878.36,95673.1,457023.61,0.4322,1079.32,1.718,978.84,898.725,1105.297,237.72994805264,NA,NA,NA,NA,NA,NA,NA
"2006-04-03",1061.96,1079.37,1061.96,1079.32,277297.61,1570315.69,1.718,1390.12,-0.9096,1234.72,915.54,1171.666,292.477170512693,NA,56.8114484764692,NA,NA,NA,NA,NA
"2006-06-02",1406.62,1411.78,1382,1390.12,641091.62,3740732.36,-0.9096,1282.06,-0.948,1336.09,978.84,1292.043,375.498835419114,NA,89.4007640116312,NA,NA,NA,NA,NA
"2006-08-01",1292.71,1302.89,1278.54,1282.06,174438.87,1013795.95,-0.948,1338.69,0.3012,1310.375,1234.72,1453.319,490.699352023891,NA,77.2591844621464,NA,NA,NA,NA,NA
"2006-08-31",1335.59,1342.79,1331.29,1338.69,231882.74,1393200.1,0.3012,1446.24,0.4996,1392.465,1336.09,1636.378,610.122338657493,NA,75.7035734739814,NA,NA,NA,NA,NA
"2006-10-30",1436.66,1446.24,1428.33,1446.24,353204.52,1987445.5,0.4996,1667.14,1.4069,1556.69,1310.375,1955.8,924.387374835656,1670.52343863423,86.2168367346939,NA,NA,NA,NA,NA
"2006-11-29",1617.69,1672.91,1604.82,1667.14,455784.11,3089501.2,1.4069,2041.05,3.087,1854.095,1392.465,2251.916,1074.51564417752,1728.22637764117,86.5586984103291,NA,NA,NA,NA,NA
"2006-12-29",1991.88,2052.86,1991.88,2041.05,738519.47,5571638.83,3.087,2457.49,-9.24,2249.27,1556.69,2543.618,1202.84882225305,1734.531806716,87.5370509197855,NA,NA,NA,NA,NA
"2007-02-27",2717.81,2719.52,2454.92,2457.49,1077368.07,10110275.56,-9.24,2783.31,-0.5126,2620.4,1854.095,2960.874,1420.60182724084,1673.69385928338,100,NA,NA,NA,NA,NA
"2007-03-29",2802.38,2830.08,2782.93,2783.31,1065672.39,11323343.63,-0.5126,4072.58,2.1913,3427.945,2249.27,3360.384,1474.454813604,1614.32812261903,100,NA,NA,NA,NA,NA
"2007-05-28",4033.92,4091.94,4027.36,4072.58,1140418.48,18321292.8,2.1913,4040.48,2.858,4056.53,2620.4,3736.473,1410.21066798192,1530.69143472519,100,90.744521826403,NA,NA,NA,NA
"2007-06-27",3946.88,4053.41,3912.2,4040.48,652905.2,10213162.01,2.858,4307.14,0.0918,4173.81,3427.945,4067.27,1249.7138851931,1458.77418455756,98.6830985337677,94.0940025989472,NA,NA,NA,NA
"2007-07-27",4277.55,4318.34,4225.03,4307.14,650211.09,10591006.85,0.0918,5454.62,-1.0751,4880.88,4056.53,4333.389,1035.23960428331,1420.49595639757,98.6224890464277,94.4874018681982,NA,NA,NA,NA
"2007-09-25",5524.02,5540.87,5423.53,5454.62,453262.3,9549483.33,-1.0751,5333.79,-4.5494,5394.205,4173.81,4417.268,890.176667718892,1384.1827459585,98.951436140501,95.6495110465753,NA,NA,NA,NA
"2007-10-25",5549.66,5556.55,5312.85,5333.79,508217.06,10389071.4,-4.5494,5207.13,2.0636,5270.46,4880.88,4510.081,735.901743735006,1339.53691137568,94.6459455106885,94.7565099117814,NA,NA,NA,NA
"2007-12-24",5142.16,5239.22,5129.6,5207.13,503199.67,10396975.59,2.0636,4975.11,4.6539,5091.12,5394.205,4393.928,888.478112514753,1281.76204616217,83.4926464076329,92.0937935310446,NA,NA,84.1065206673239,NA
"2008-01-23",4787.17,4976.27,4751.5,4975.11,557763.85,11100612.75,4.6539,4702.24,-3.5642,4838.675,5270.46,4243.174,1065.39629403231,1242.56463792432,74.6780027988277,87.1553148312823,NA,NA,82.1026799552974,NA
"2008-02-22",4850.88,4850.88,4649.81,4702.24,379186.27,7711034.96,-3.5642,3296.28,0.8793,3999.26,5091.12,4019.771,1265.86029073292,1213.87102672618,60.3981345993915,84.2762480106792,NA,NA,72.7893202563948,NA
"2008-04-22",3207.88,3301.55,3122.39,3296.28,325379.69,4770644.18,0.8793,3711.44,-1.8929,3503.86,4838.675,3658.291,1325.3233268607,1197.09704866606,2.10693102516964e-14,65.442133511715,NA,NA,61.951728896227,NA
"2008-05-22",3732.64,3783.85,3704.16,3711.44,407427.17,6628121.2,-1.8929,2911.05,3.3952,3311.245,3999.26,3329.422,1270.2527044455,1185.669151121,16.9268593002728,67.0416245365689,NA,NA,51.9137627511571,70.57280250528
"2008-07-21",2792.83,2915.29,2780.28,2911.05,451195.77,5493805.55,3.3952,2532.94,7.8549,2721.995,3503.86,3054.934,1105.27225008341,1179.36007902803,13.2791709314227,58.6076946178641,NA,NA,35.6055386489446,60.8726061016042
